smiles,logD,pH
NC1[C@@H]2CN(c3nc4c(cc3F)=C([O-])C(C(=O)O)[CH-][N+]=4c3ccc(F)cc3F)C[C@H]12,0.25,7.4
COc1ccc(OC)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,3.65,7.4
COc1ccc(OCCF)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,3.81,7.4
COc1ccc(OCF)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,3.7,7.4
CCN(CCO)CCCOc1cc2[nH]cnc(=Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)c2cc1OC,2.1,7.4
COc1cc2c(=Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)[nH]cnc2cc1OCCCN1CCC(CO)CC1,2.1,7.4
COc1ccc(C(=NO)Nc2cccc(F)c2)cc1,3.09,7.4
Cc1cc(N2CCNCC2)n2nc(-c3cccc(F)c3)cc2n1,3.44,7.4
Fc1cccc(-c2cc3[nH]c(-c4ccccc4)cc(=NCCCN4CCCC4)n3n2)c1,4.79,7.4
Cc1cc(=NCCCN2CCOCC2)n2[nH]c(-c3cccc(F)c3)cc2n1,4.44,7.4
Cc1cc(=NCCCn2ccnc2)n2[nH]c(-c3cccc(F)c3)cc2n1,3.67,7.4
CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0.91,7.4
Cc1ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(C)NC(C)C4)cc32)c(F)c1,0.31,7.4
Cc1ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)cc32)c(F)c1,0.31,7.4
CCOC(=O)c1ncn2c1CN(C)C(=O)c1cc(F)ccc1-2,1.21,7.4
COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-0.79,7.4
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,-0.16,7.4
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,-0.96,7.4
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-0.5,7.4
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2)CC(C)N1,-1.11,7.4
O=C(O)c1cn(-c2ccc(F)cc2)c2cc(N3CCNCC3)c(F)cc2c1=O,-1.18,7.4
Cc1cc(F)ccc1-n1cc(C(=O)O)c(=O)c2cc(F)c(N3CC(C)NC(C)C3)cc21,-1.05,7.4
Cc1cc(F)ccc1-n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-0.43,7.4
Cc1ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(C)NC(C)C4)cc32)cc1,0.16,7.4
Cc1ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)cc32)cc1,-0.73,7.4
Cc1ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CC(C)NC(C)C4)cc32)c(C)c1,0.02,7.4
Cc1ccc(-n2cc(C(=O)O)c(=O)c3cc(F)c(N4CCNCC4)cc32)c(C)c1,-0.07,7.4
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccccc2)CC(C)N1,-0.12,7.4
O=C(O)c1cn(-c2ccccc2)c2cc(N3CCNCC3)c(F)cc2c1=O,-0.97,7.4
Cc1ccccc1-n1cc(C(=O)O)c(=O)c2cc(F)c(N3CC(C)NC(C)C3)cc21,-0.17,7.4
Cc1ccccc1-n1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,-0.83,7.4
CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccccc2F)CC(C)N1,-0.23,7.4
O=C(O)c1cn(-c2ccccc2F)c2cc(N3CCNCC3)c(F)cc2c1=O,-1.99,7.4
O=C(O)C1[CH-][N+](C2CC2)=c2cc(N3CCNCC3)c(F)cc2=C1[O-],-1.12,7.4
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,-0.43,7.4
C[C@@H]1CCc2cc(F)cc3c2=[N+]1[CH-]C(C(=O)O)C=3[O-],0.65,7.4
COc1ccc(C(=NO)Nc2ccc(F)cc2)cc1,3.02,7.4
ON=C(Nc1ccc(F)cc1)c1ccccc1-c1ccccc1,3.98,7.4
N=c1[nH]c2ccc(-c3cncc(Oc4ccc(F)cc4)c3)cc2[nH]1,3.11,7.4
CC(C)n1c(/C=C/[C@@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,1.4,7.4
CC(C)n1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)O)c(-c2ccc(F)cc2)c2ccccc21,1.14,7.4
CC(C)(C)c1cc(N2CCNCC2)n2nc(-c3ccc(F)cc3)cc2n1,4.15,7.4
Fc1ccc(-c2cc3[nH]c(-c4ccccc4)cc(=NC4CCNCC4)n3n2)cc1,4.2,7.4
CCN(CC)CCCN=c1cc(-c2ccccc2)[nH]c2cc(-c3ccc(F)cc3)nn12,4.84,7.4
O=C1CCCN1CCCN=c1cc(-c2ccccc2)[nH]c2cc(-c3ccc(F)cc3)nn12,4.77,7.4
N=C(N)c1ccc(CCN2CCC(c3nc(COCC(F)(F)F)c(-c4ccc(F)cc4)o3)CC2)cc1,3.76,7.4
ON=C(NC1CCCCC1)c1ccc(F)cc1,4.02,7.4
COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1,2.93,7.4
CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21,1.94,7.4
COCCC(CC1(C(=O)NCCCc2ccc(F)cc2)CCCC1)C(=O)O,0.5,7.4
O=C(NCc1ccc(F)cc1)C(Cc1ccccc1)C(O)=NO,1.2,7.4
O=C(NCc1ccc(F)cc1)/C(=C/c1ccccc1)C(O)=NO,1.1,7.4
C#CCN(C)[C@H](C)Cc1ccc(F)cc1,2.7,7.4
Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,2.27,7.4
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2ccc(F)c(C(F)(F)F)c2)cc1,3.7,7.4
ON=C(NC1CCCCC1)c1c(F)cccc1F,3.67,7.4
ON=C(NC1CCCCC1)c1cccnc1Oc1ccccc1F,3.99,7.4
CN1[C@@H]2CC[C@@H]1[C@@H](c1cnc(F)c(-c3ccc(F)nc3)c1)C2,0.96,7.4
CN1[C@@H]2CC[C@@H]1[C@@H](c1cnc(F)c(-c3ccc(C#N)nc3)c1)C2,0.64,7.4
COc1ccc(OCI)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,4.02,7.4
COc1ccc(OC)c(CN(C(C)=O)c2cc(I)ccc2Oc2ccccc2)c1,4.03,7.4
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCCN(C)C)c(I)c1,5.77,7.4
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(C(C)C)C(C)C)c(I)c1,6.66,7.4
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(C)C)c(I)c1,5.39,7.4
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,6.1,7.4
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN2CCCC2)c(I)c1,6.03,7.4
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN2CCCCC2)c(I)c1,6.16,7.4
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN2CCOCC2)c(I)c1,4.76,7.4
COc1ccc(I)c(CN(C(C)=O)c2cc(F)ccc2Oc2ccccc2)c1,4.42,7.4
CCN(CC)CC[N+]12CCS[Tc-]1([OH2+])(Sc1ccc(I)cc1)SCC2,2.77,7.4
N=C(NC1CCCCC1)c1ccccc1-c1ccccc1,2.87,7.4
CC(C)(C)c1ccc(N=C(N)Nc2ccc(C(C)(C)C)cc2)cc1,3.65,7.4
CC(C)c1ccc(N=C(N)Nc2ccc(C(C)C)cc2)cc1,2.72,7.4
CCC(C)c1ccc(N=C(N)Nc2ccc3c4c(cccc24)CC3)cc1,3.31,7.4
CCC(C)c1ccc(N=C(N)Nc2ccc(C(C)CC)cc2)cc1,3.94,7.4
CCc1ccc(N=C(N)Nc2ccc(CC)cc2)cc1,1.7,7.4
CCCCc1ccc(N=C(N)Nc2ccc(CCCC)cc2)cc1,4.1,7.4
CCCCCCc1ccc(N=C(N)Nc2ccc(CCCCCC)cc2)cc1,6.07,7.4
Cc1ccccc1N=C(N)Nc1ccccc1C,0.7,7.4
CN(C)CCC=C1c2ccccc2C=Cc2ccccc21,2.92,7.4
CN(C)CCC=C1c2ccccc2CCc2ccccc21,2.815,7.4
CNCCC=C1c2ccccc2CCc2ccccc21,2.02,7.4
CNCCCC12CCC(c3ccccc31)c1ccccc12,1.12,7.4
CN(C)CCCN1c2ccccc2CCc2ccccc21,2.505,7.4
CNCCCN1c2ccccc2CCc2ccccc21,1.45,7.4
CCCCCC(C)NCc1ccc(-c2ccccc2)cc1,4.2,7.4
CNCc1ccccc1,0.86,7.4
C#CCN(C)[C@H](C)Cc1ccccc1,2.49,7.4
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,3.11,7.4
c1ccc2c(c1)CCc1ccccc1N2C1CN2CCC1CC2,1.36,7.4
C[C@]12N[C@H](Cc3ccccc31)c1ccccc12,1.79,7.4
N=C(N)N1CCc2ccccc2C1,-0.87,7.4
CCCCOC(=O)C(=O)Nc1cccc(-c2nn[nH]n2)c1,-0.54,7.4
CCOC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1cccc([N+](=O)[O-])c1,3.5,7.4
COC(=O)C1=C(C)N=C(C)C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,4.25,7.4
COC(=O)C1=C(C)N=C(C)C(C(=O)OC)C1c1ccccc1[N+](=O)[O-],3.17,7.4
COC(=O)C1C(C(=O)Oc2ccccc2)CC2CCC1N2C,1.05,7.4
CCOC(=O)c1ccc(N)cc1,1.9,7.4
CCN(CC)CCOC(=O)c1ccc(N)cc1,0.43,7.4
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,2.29,7.4
COc1ccc(C(=O)Oc2cc(O)n(C)c2)cc1,2.72,7.4
Cn1cc(OC(=O)c2ccccc2)cc1O,2.34,7.4
COC(=O)C1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,1.07,7.4
CC(C)CC(NC(=O)C(Cc1c[nH]cn1)NC(=O)C(Cc1ccccc1)NC(=O)OC(C)(C)C)C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCCN=C(N)N,2.1,7.4
CN(C)CCOC(c1ccccc1)c1ccccc1,1.34,7.4
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,0.9,7.4
COc1cc(Cc2c[nH]c(=N)[nH]c2=N)cc(OC)c1OC,0.63,7.4
COc1cccc2c(-c3c(C)n(CC(=O)O)c4ccc(C)cc34)ccnc12,0.5,7.4
COc1cc(CC(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)c([N+](=O)[O-])cc1OC,2.4,7.4
COc1cc(N[C@H](C)CCCN)c2ncccc2c1,1.17,7.4
COc1cc(/C=C/C(=O)N2CCC(n3c(=O)[nH]c4ccccc43)CC2)c([N+](=O)[O-])cc1OC,3.0,7.4
COc1cc(/C=C/C(=O)N2CCC3(CC2)C(=O)NCN3c2ccccc2)c([N+](=O)[O-])cc1OC,3.0,7.4
COc1cc(C)c2c[nH]c(=Nc3ccc(N4CCN(C(C)=O)CC4)cc3)nc2c1C1CCCC1,3.77,7.4
COc1cc(C)c2c[nH]c(=Nc3ccc(N4CCNCC4)cc3)nc2c1C1CCCC1,2.32,7.4
COc1cccc(C(=NO)NC2CCCCC2)c1,3.84,7.4
COc1cccc([C@@H](c2ccc3c(c2)CN(C(=O)CC(=O)O)CC3)N2C[C@@H](C)N(Cc3ccccc3)C[C@@H]2C)c1,1.3,7.4
COc1cccc([C@@H](c2ccc3c(c2)CN(CC(=O)O)CC3)N2C[C@@H](C)N(Cc3ccccc3)C[C@@H]2C)c1,2.5,7.4
COc1cccc([C@@H](c2ccc3c(c2)CN(CCC(=O)O)CC3)N2C[C@@H](C)N(Cc3ccccc3)C[C@@H]2C)c1,2.3,7.4
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,2.36,7.4
COc1ccc(CCc2nc3ccccc3n3cccc23)cc1OC,2.97,7.4
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,2.89,7.4
COc1ccc2[nH]c(=NCCCN(C)CCCN=c3[nH]c4ccc(OC)cc4n4cccc34)c3cccn3c2c1,3.41,7.4
COc1ccc2[nH]c(=NCCCN3CCN(CCCN=c4[nH]c5ccc(OC)cc5n5cccc45)CC3)c3cccn3c2c1,4.67,7.4
COc1ccc2[nH]c(=NCCCNCCCN=c3[nH]c4ccc(OC)cc4n4cccc34)c3cccn3c2c1,2.58,7.4
C/C=C/c1nc2ccc(OC)cc2n2cccc12,3.48,7.4
CCC/C=C/c1nc2ccc(OC)cc2n2cccc12,4.3,7.4
COc1cc2c(cc1OC)[C@@H]1C[C@H](N)[C@@H](c3cccc(C)c3)CN1CC2,1.3,7.4
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,0.45,7.4
COc1ccc2c(c1)[nH]c(=NCCCN(C)CCCN=c1[nH]c3cc(OC)ccc3n3cccc13)c1cccn12,3.55,7.4
COc1ccc2c(c1)[nH]c(=NCCCN1CCN(CCCN=c3[nH]c4cc(OC)ccc4n4cccc34)CC1)c1cccn12,3.72,7.4
COc1ccc2c(c1)[nH]c(=NCCCNCCCN=c1[nH]c3cc(OC)ccc3n3cccc13)c1cccn12,2.76,7.4
CCCc1nc2cc(OC)ccc2n2cccc12,3.4,7.4
CCCCCc1nc2cc(OC)ccc2n2cccc12,4.38,7.4
C/C=C/c1nc2cc(OC)ccc2n2cccc12,3.47,7.4
CCC/C=C/c1nc2cc(OC)ccc2n2cccc12,4.52,7.4
COc1ccc2c(c1)nc(/C=C/c1ccccc1)c1cccn12,5.34,7.4
COc1ccc2cc(CCC(C)=O)ccc2c1,3.3,7.4
COc1ccc2cc(CCC(C)=NO)ccc2c1,3.6,7.4
COc1ccc2cc(C(C)C(=O)O)ccc2c1,0.245,7.4
C=CC1CN2CCC1CC2[C@@H](O)c1ccnc2ccc(OC)cc12,2.14,7.4
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,2.41,7.4
COc1cc2[nH]cnc(=Nc3ccc(NC(=O)c4ccccc4)cc3)c2cc1OC,3.7,7.4
COc1ccc(Nc2ccccc2NC(=O)c2ccc(=O)[nH]c2)cc1,2.92,7.4
COc1ccc(C(CNC2CCCCC2)=NO)cc1,2.93,7.4
COc1ccc(C(=NO)NC2CCCCC2)cc1,3.82,7.4
COc1ccc(C(=NO)Nc2cccc(C#N)c2)cc1,2.41,7.4
COCC(=NO)c1ccc(OC)cc1,1.64,7.4
CCc1cccc(NC(=NO)c2ccc(OC)cc2)c1,3.76,7.4
COc1ccc(C(=NO)Nc2ccccc2)cc1,3.1,7.4
COc1ccc(C(=O)c2cc(C(=O)c3ccc(OC)cc3)n(CC(=O)O)c2)cc1,0.39,7.4
COc1ccc(C(=O)c2cc(C(=O)c3ccccc3)n(CC(=O)O)c2)cc1,0.12,7.4
COc1ccc(C(=O)c2ccn(CC(=O)O)c2)cc1,-0.96,7.4
COc1ccc(C(=O)c2cccn2CC(=O)O)cc1,-0.87,7.4
COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1,0.88,7.4
COc1ccc(CCNC(=O)c2c(C)nc3ccccn23)cc1,3.39,7.4
COc1ccc(CC(N=C(N)N)C(=O)N2CCCC2C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2ccccc2)C(N)=O)cc1,1.63,7.4
COc1ccc(C[C@@H](C)NC[C@H](O)c2ccc(O)c(NC=O)c2)cc1,0.79,7.4
COCCC(CC1(C(=O)N[C@@H]2C[C@H]2c2ccc(OC)cc2)CCCC1)C(=O)O,0.3,7.4
COc1ccccc1,2.09,7.4
COc1ccccc1C(=NO)NC1CCCCC1,3.6,7.4
COc1ccccc1COCCCOc1ccc(N2C(=O)CNC[C@@H]2COCc2cccnc2)cc1,2.9,7.4
COc1ccccc1N1CCN(c2ccc(Nn3c(C)ccc3C)cc2)CC1,3.61,7.4
COc1ccc2[nH]c(=NCCCN3CCN(CCCN=c4[nH]c5ccc(OC)nc5n5cccc45)CC3)c3cccn3c2n1,4.73,7.4
COc1ccc2nc(C)cc(OCC(=O)NCc3ccccc3)c2c1,3.86,7.4
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,2.4,7.4
Cc1cccc(C)c1OCC(C)N,0.47,7.4
CC(C)NCC(O)COc1cccc2ccccc12,1.4,7.4
CC(C)NCC(O)COc1cccc2cccc(O)c12,1.4,7.4
CC(C)NCC(O)COc1c(O)ccc2ccccc12,1.66,7.4
C=CCc1ccccc1OCC(O)CNC(C)C,1.0,7.4
CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,1.81,7.4
CCOC(=O)N=C(N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,1.5,7.4
CCOc1ccccc1C[C@H](c1ccccc1)N1CCNCC1,1.5,7.4
CCOc1ccccc1C[C@@H](c1ccccc1)N1CCNCC1,1.5,7.4
CCCOc1ncc(C(C)=O)cc1-c1nc(=O)c2nn(C3CN(C(C)C)C3)c(CC)c2[nH]1,2.5,7.4
N=C(N)N1CCC(OCCC2CCCCN2C(=O)C(CC2CCCCC2)NCC(=O)O)CC1,0.2,7.4
N=C(N)N1CCC(OCCC2CCCCN2C(=O)C(Cc2ccccc2)NCC(=O)O)CC1,-1.1,7.4
CCCCOc1ccc(N=C(N)Nc2ccc(OCCCC)cc2)cc1,3.52,7.4
CCCCOc1cc(C(=O)NCCN(CC)CC)c2ccccc2n1,2.91,7.4
CCCCOc1ncc(C(C)=O)cc1-c1nc(=O)c2nn(Cc3nccn3C)c(CC)c2[nH]1,2.6,7.4
CCCCOc1ncc(C(C)=O)cc1-c1nc(=O)c2nn(C3CN(CC)C3)c(CC)c2[nH]1,2.8,7.4
O=CNc1cc([C@@H](O)CNCCc2ccc(OCCCCc3ccccc3)cc2)ccc1O,2.76,7.4
Cc1cc(C)cc(OCCCON2C(N)=NC(N)=NC2(C)C)c1,3.2,7.4
CCCc1cc(C(C)=O)ccc1OCCCON1C(N)=NC(N)=NC1(C)C,2.92,7.4
Cc1ccccc1OCCCON1C(N)=NC(N)=NC1(C)C,2.83,7.4
O=CNc1cc([C@@H](O)CNCCc2cccc(OCCCOc3ccccc3)c2)ccc1O,2.49,7.4
CC/C(=C(/c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,4.15,7.4
COCCN(C)c1ccc(=Nn2c(C)ccc2C)[nH]n1,2.16,7.4
COCCN(CCOC)c1ccc(=Nn2c(C)ccc2C)[nH]n1,2.06,7.4
COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,3.53,7.4
COCCC(CC1(C(=O)NC2(CO)Cc3ccccc3C2)CCCC1)C(=O)O,-0.2,7.4
N=C(N)c1ccc(OCC[C@@H]2CCCCN2C(=O)C(CC2CCCCC2)NCC(=O)O)cc1,0.4,7.4
CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCC(C)(C)N)C(C)C,3.8,7.4
CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCC(=O)O)C(C)C,2.8,7.4
CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCCN(C)C)C(C)C,2.8,7.4
CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCCN)C(C)C,3.3,7.4
CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCCNCCO)C(C)C,3.5,7.4
CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCN)C(C)C,3.5,7.4
CCCCC(NC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C[C@H](NC(=O)OCCN(C)C)C(C)C,4.6,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)N(C)CCCN(C)C)C(C)C,3.7,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCC(C)(C)N)C(C)C,3.5,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCC(=O)O)C(C)C,2.8,7.4
CCCCNC(=O)C(C[C@H](O)[C@H](CC1CCCCC1)NC(=O)C(CCCC)OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(C)C,4.7,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCCNC(C)=O)C(C)C,4.3,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCCNC(N)=O)C(C)C,4.2,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCCN=c1[nH][nH]c(=N)[nH]1)C(C)C,4.2,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCCN=C(N)NC#N)C(C)C,4.5,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCCN=C(NC)NC#N)C(C)C,4.4,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCCn1ccnc1)C(C)C,4.0,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCN(C)C)C(C)C,4.3,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)CC(C(=O)NCCN=c1[nH][nH]c(=N)[nH]1)C(C)C,4.0,7.4
CCCCC(OC(Cc1ccccc1)C(=O)N1CCC(OCOC)CC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)CC(C)C,4.8,7.4
CC(C)(C)NC[C@@H](O)COc1ccccc1C1CCCC1,2.06,7.4
CC(C)NC[C@@H](O)COc1cccc2ccccc12,1.41,7.4
CC(C)NC[C@@H](O)COc1cccc2[nH]c3ccccc3c12,1.58,7.4
C=CCc1ccccc1OC[C@H](O)CNC(C)C,0.86,7.4
Cc1cc(C)c(-c2nc(C(=O)Nc3cccc(C(=O)O)c3)c(COC34CC5CC(CC(C5)C3)C4)[nH]2)c(C)c1,3.02,7.4
CN1C[C@H](CNC(=O)OCc2ccccc2)C[C@@H]2c3cccc4c3c(cn4C)C[C@H]21,3.5,7.4
CC(C)(C)c1ccc(N=C(N)Nc2ccc(OCc3ccccc3)cc2)cc1,3.46,7.4
CC1(C)N=C(N)N=C(N)N1OCCc1ccc2ccccc2c1,2.92,7.4
O=C(NOCc1ccccc1)Nc1ccc2c(-c3ccncc3)c[nH]c2c1,3.54,7.4
Cn1cc(C#N)c2ccc(NC(=O)NOCc3ccccc3)cc21,2.74,7.4
CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,2.48,7.4
O=C1NCN(c2ccccc2)C12CCN(Cc1cccc(Oc3ccccc3)c1)CC2,2.9,7.4
O=C(O)CCc1ccc(NCc2cccc(Oc3ccccc3)c2)cc1,1.95,7.4
c1ccc(C[C@H]2CN(c3nccc(Oc4ccc(-n5ccnc5)cc4)n3)CCN2)cc1,3.58,7.4
COc1cc(C)ccc1Oc1ncccc1C(=NO)NC1CCCCC1,4.02,7.4
ON=C(NC1CCCCC1)c1ccccc1Oc1ccccc1,4.43,7.4
CCc1ccccc1Oc1ncccc1C(=NO)NC1CCCCC1,4.31,7.4
COc1ccccc1Oc1ncccc1C(=NO)NC1CCCCC1,3.77,7.4
Cc1cnc(N2CCN[C@@H](Cc3ccccc3)C2)nc1Oc1ccc(-n2ccnc2)cc1,4.04,7.4
Cc1ccc(Oc2ncccc2C(=NO)NC2CCCCC2)cc1,4.32,7.4
ON=C(NC1CCCCC1)c1cccnc1Oc1ccccc1,3.92,7.4
Cc1ccc2nc(C)oc(=O)c2c1,1.8,7.4
Cc1nc2cc3ccccc3cc2c(=O)o1,2.8,7.4
Cc1nc2ccccc2c(=O)o1,1.3,7.4
O=c1oc(/C=C/c2ccccc2)nc2ccccc12,3.9,7.4
Cc1nc2c(C)cccc2c(=O)o1,2.1,7.4
Cc1cccc2c(=O)oc(C(C)(C)C)nc12,4.0,7.4
CC(C)N(c1nc2ccccc2c(=O)o1)C(C)C,3.7,7.4
NC(=O)C1CCCN1c1nc2ccccc2c(=O)o1,0.4,7.4
CCc1cc(N)cc2nc(N3CCCC3C(=O)NC(CC(C)C)C(N)=O)oc(=O)c12,1.6,7.4
O=c1oc(N2CCCCC2)nc2ccccc12,3.0,7.4
COC(=O)C(N=c1[nH]c2ccccc2c(=O)o1)c1ccccc1,2.6,7.4
Cc1ccc2c(=O)oc(=NC(C)C)[nH]c2c1C,3.8,7.4
CCc1cc(N)cc2[nH]c(=NC(C)C)oc(=O)c12,1.6,7.4
CC(=O)Nc1ccc2c(=O)oc(=NC(C)C)[nH]c2c1,1.2,7.4
CCNc1ccc2c(=O)oc(=NC(C)C)[nH]c2c1,2.4,7.4
CCc1ccc2c(=O)oc(=NC(C)C)[nH]c2c1,3.2,7.4
CC(C)N=c1[nH]c2ccccc2c(=O)o1,2.4,7.4
Cc1cccc2[nH]c(=NC(C)C)oc(=O)c12,3.0,7.4
CN=c1[nH]c2ccccc2c(=O)o1,1.7,7.4
CN=c1[nH]c2cccc(C)c2c(=O)o1,2.3,7.4
O=c1oc(=NC2CCCCC2)[nH]c2ccccc12,3.5,7.4
CCCN=c1[nH]c2ccccc2c(=O)o1,2.4,7.4
