,smiles,pH,logD
696,CC(NC(=O)C(CC1=C(C)NC2=CC=CC=C12)NC(=O)C(N)CC1=CNC=N1)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCCN)C(N)=O,7.0,-0.45
697,CC(NC(=O)C(CC1=CC=C(O)C=C1)NC(N)=N)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC1=CC=C(Cl)C=C1)C(N)=O,7.4,1.13
698,CC(NC(=O)C(CC1=CC=C(O)C=C1)NC(N)=N)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC1=CC=CC=C1)C(N)=O,7.4,0.34
699,CC(NC(=O)C(N)CC1=CC=C(O)C=C1)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC1=CC=C(Cl)C=C1)C(N)=O,7.4,2.08
700,CC(NC(=O)C(N)CC1=CC=C(O)C=C1)C(=O)NC(CC1=CNC2=CC=CC=C12)C(=O)NC(CC1=CC=CC=C1)C(N)=O,7.4,1.29
701,CC(NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(=O)NCC(=O)NCC(=O)NC(CC(O)=O)C(=O)NC(C)C(=O)NC(CO)C(=O)NCC(=O)NC(CCC(O)=O)C(O)=O,7.4,-2.03
702,CC(NC(=O)C1(N)CCN(CC1)C1=C2C=CNC2=NC=N1)C1=CC=C(C=C1)S(C)(=O)=O,7.4,1.0
703,CC(NC(=O)C1(N)CCN(CC1)C1=C2C=CNC2=NC=N1)C1=CC=C(Cl)C=C1,7.4,2.7
704,CC(NC(=O)C1(N)CCN(CC1)C1=C2C=CNC2=NC=N1)C1=CC=C(F)C=C1,7.4,2.4
705,CC(NC(=O)C1(N)CCN(CC1)C1=C2C=CNC2=NC=N1)C1=CC=CC=C1,7.4,2.17
706,CC(NC(=O)C1(N)CCN(CC1)C1=C2C=CNC2=NC=N1)C1=CC=CC=N1,7.4,1.3
707,CC(NC(=O)C1(N)CCN(CC1)C1=C2C=CNC2=NC=N1)C1=CC=CN=C1,7.4,1.2
708,CC(NC(=O)C1=C(NS(=O)(=O)C2=CC=C(C)C=C2)N(N=C1C)C1=CC=CC=C1)C(C)(C)C,7.4,1.21
709,CC(NC(=O)C1=C2C=CC=CC2=NC(O)=C1)C1=CC=CC=C1,7.4,2.2
710,CC(NC(=O)CNC(=O)C(C)NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(=O)NC(CC(O)=O)C(=O)NC(C)C(=O)NC(CO)C(=O)NCC(=O)NC(CCC(O)=O)C(N)=O,7.4,-1.47
711,CC(NC(=O)CNC(=O)C(C)NC(=O)C(N)CC1=CNC2=CC=CC=C12)C(=O)NC(CC(O)=O)C(=O)NC(C)C(=O)NC(CO)C(=O)NCC(=O)NC(CCC(O)=O)C(O)=O,7.4,-1.99
712,CC(NC(C)(C)C)C(=O)C1=CC=CC(Cl)=C1,7.4,2.12
713,CC(NC(C)=O)C(=O)NC(CC(O)=O)C(=O)NC(C)C(=O)NC(C)(C)C,2.0,-0.74
714,CC(NC(C)=O)C(=O)NC(CC(O)=O)C(=O)NC(C)C(=O)NC(C)(C)C,10.0,-3.4
715,CC(NC(C)=O)C(=O)NC(CC1=CNC=N1)C(=O)NC(C)C(=O)NC(C)(C)C,3.0,-2.03
716,CC(NC(C)=O)C(=O)NC(CC1=CNC=N1)C(=O)NC(C)C(=O)NC(C)(C)C,7.0,-0.48
717,CC(NC(C)=O)C(=O)NC(CC1=CNC=N1)C(=O)NC(C)C(=O)NC(C)(C)C,9.0,-0.46
718,CC(NC(C)=O)C(=O)NC(CCC(O)=O)C(=O)NC(C)C(=O)NC(C)(C)C,2.0,-0.67
719,CC(NC(C)=O)C(=O)NC(CCC(O)=O)C(=O)NC(C)C(=O)NC(C)(C)C,10.0,-3.15
720,CC(NC(C)=O)C1=CC=C(NC2=NC=C3C=C(C=CC3=N2)C2=CC=NC=C2)C=C1,7.4,3.1
721,CC(NC(CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCCC1C(O)=O,5.5,-1.0
722,CC(NC(CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCCC1C(O)=O,6.5,-1.0
723,CC(NC(CCC1=CC=CC=C1)C(O)=O)C(=O)N1CCCC1C(O)=O,7.4,-1.001
724,CC(NC1=C2C=CC=CC2=NC=N1)C1=CC=CC=C1,7.4,3.4
725,CC(NC1=CC=CC=C1)C1=CC(C)=CN2C(=O)C=C(N=C12)N1CCOCC1,7.4,3.6
726,CC(NCC(O)C1=CC=C(C=C1)[N+]([O-])=O)C12CC3CC(CC(C3)C1)C2,7.4,3.53
727,CC(O)(C(=O)C1=CC=CC=C1)C1=CC=CC=C1,7.4,2.92
728,CC(O)(C(=O)NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(F)C=C1)C(F)(F)F,7.4,3.12
729,CC(O)(C(=O)NC1=CC=C(C=C1)S(=O)(=O)C1=CC=C(O)C=C1)C(F)(F)F,7.4,2.78
730,CC(O)(C(=O)NC1=CC=C(C=C1)S(=O)(=O)C1=CC=CC=C1)C(F)(F)F,7.4,2.98
731,CC(O)(C(=O)NC1=CC=C(C=C1)S(=O)(=O)C1=CC=CN=C1)C(F)(F)F,7.4,2.08
732,CC(O)(C(=O)NC1=CC=C(C=C1)S(=O)(=O)C1=CC=NC=C1)C(F)(F)F,7.4,2.15
733,CC(O)(C(=O)NC1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=C1)C(F)(F)F,7.4,3.07
734,CC(O)(C(=O)NC1=CC=C2C(=C1)C1=CC=CC=C1S2(=O)=O)C(F)(F)F,7.4,3.0
735,CC(O)=O,7.4,-2.88
736,CC(O)=O.NC(=O)CCC1NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC2=CC=C(O)C=C2)NC(=O)CCSSCC(NC(=O)C(CC(N)=O)NC1=O)C(=O)N1CCCC1C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O,7.4,-1.95
737,CC(O)C(C)OC(=O)[C@@H]1CC2C(CC3=CN(C(C)C)C4=CC=CC2=C34)N(C)C1,7.4,2.8
738,CC(O)C1=CC=C2OCC(=O)N(CCN3CCC(CC3)NCC3=CC=C4OCC(=O)NC4=N3)C2=C1,7.4,0.25
739,CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1,7.4,0.48
740,CC1(C)C(=O)NC2=CC=CC=C12,7.4,2.3
741,CC1(C)CC(=O)C2=C(C1)N=C1C=CC=CC1=C2N,7.4,3.0
742,CC1(C)CCC(=C(CN2CCN(CC2)C2=CC=C(C=C2)C(=O)NS(=O)(=O)C2=CC=C(N[C@H](CCN3CCOCC3)CSC3=CC=CC=C3)C(=C2)S(=O)(=O)C(F)(F)F)C1)C1=CC=C(Cl)C=C1,7.4,0.64
743,CC1(C)CCC(CC1)NC(=O)[C@@H](N)CCC(O)=O,7.4,-0.27
744,CC1(C)CN2C(CC(O)=O)=C(C(=C2C1)C1=CC=CC=C1)C1=CC=C(Cl)C=C1,7.4,3.07
745,CC1(C)CNC(=O)C2=C(C1)N=C(S2)N1CCOCC1,7.4,1.29
746,CC1(C)COCC2=C1N=C(S2)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N,7.4,2.4
747,CC1(C)N(CC2=CC=NC(=C2)N2CCOCC2)C(=O)N(C1=O)C1=CC=C(SC(F)(F)F)C=C1,7.4,3.73
748,CC1(C)N=C(N)N=C(N)N1C1=CC=C(OC2=CC=C(Cl)C=C2)C(Cl)=C1,7.4,0.79
749,CC1(C)NC(=O)N(C1=O)C1=CC=C(C(=C1)C(F)(F)F)[N+]([O-])=O,7.4,1.74
750,CC1(C)OC2=NC=NC(N)=C2N=C1C1=CC=C(C=C1)[C@H]1CC[C@H](CC(O)=O)CC1,7.4,1.32
751,CC1(C)S[C@@H]2[C@H](NC(=O)COC3=CC=CC=C3)C(=O)N2[C@@H]1C(O)=O,7.4,-0.62
752,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=O,5.5,-1.7
753,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=O,6.5,-1.7
754,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=O,7.4,-2.08
755,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=CC=C3)C(=O)N2[C@H]1C(O)=O,7.4,-1.85
756,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)N1CCN(CC1)C1=CC=C(C=N1)C#N)C(=O)C2,7.4,2.46
757,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)N1CCN(CC1)C1=CC=C(C=N1)C(F)(F)F)C(=O)C2,7.4,3.8
758,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)NC1CCN(CC1)C1=CC=C(C=N1)C(F)(F)F)C(=O)C2,7.4,3.84
759,CC1(CC(=O)NC(N)=N1)C1=CC=C(Cl)C(Cl)=C1,7.4,1.59
760,CC1(CC(=O)NC(N)=N1)C1=CC=CC=C1,7.4,0.62
761,CC1(CC1)C1=C(C=NN1C1=CC=C(C=C1)C(O)=O)C(=O)NC1C2CC3CC(C2)CC1C3,7.4,1.11
762,CC1(CC1)C1=NC(=NC=C1C(=O)N[C@H]1C2CC3CC1C[C@](O)(C3)C2)N1CCOCC1,7.4,2.0
763,CC1(CCC(=O)N1CC1=CC=CS1)C(=O)NC1CCCCC1,7.4,2.15
764,CC1(CCN(CC1)C(=O)COCC1=CC=NC=C1)C1=CC=C(Cl)C=C1,7.4,2.79
765,CC1(COC2=CC(=CC=C2NC(=O)CN2CCOCC2)C2=CC=CC3=C2OC(=CC3=O)N2CCOCC2)COC1,7.4,2.2
766,CC1(COC2=CC=C3N(C=NC3=C2)C2=CC=C3C=CC=C(N4CCC(N)CC4)C3=N2)COC1,7.4,1.99
767,CC1(O)CN(C1)S(=O)(=O)C1=CC=C2C(=CNC(=O)C2=C1)C(=O)NC[C@@H](O)CN1CCC(CC1)OC1=CC=C(Cl)C(Cl)=C1,7.4,2.54
768,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,7.4,1.53
769,CC12CC3CC(C)(C1)CC(N)(C3)C2,7.4,0.06
770,CC12CCC3C(CCC4=C3C=CC(O)=C4)C1CCC2O,7.4,3.9
771,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,7.4,3.3
772,CC12NC(CC3=CC=CC=C13)C1=CC=CC=C21,7.4,1.7
773,CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O,7.4,2.37
774,CC1=C(C(=O)C2=CC(O)=C(O)C(CC3=CC=CC=C3)=C2C1=O)C1=C(C)C(=O)C2=C(CC3=CC=CC=C3)C(O)=C(O)C=C2C1=O,7.4,2.73
775,CC1=C(C(=O)C2=CC=C(O)C=C2O1)C1=CC=CC=C1,7.4,2.95
776,CC1=C(C(=O)N(C[C@H](N)C2=CC=CC=C2)C(=O)N1CC1=C(F)C=CC=C1F)C1=CC=C2OCOC2=C1,7.4,2.67
777,CC1=C(C(=O)N(C[C@H](N)C2=CC=CC=C2)C(=O)N1CC1=C(F)C=CC=C1F)C1=CC=CC=C1F,7.4,2.76
778,CC1=C(C(=O)NC2=NC=CS2)C(=NO1)C(N)=O,7.4,1.63
779,CC1=C(C(=O)NC2=NC=CS2)C(CO)=NO1,7.4,1.53
780,CC1=C(C(=O)NC[C@H](O)CN2CCOCC2)C(C)=C(N1)\C=C1/C(=O)NC2=CC=C(F)C=C12,7.4,2.22
781,CC1=C(C(=O)OC2=CC(O)=CC=C12)C1=CC=C(O)C=C1,7.4,2.8
782,CC1=C(C)C(=O)C(C(CCCCCC(O)=O)C2=CC=CC=C2)=C(C)C1=O,7.4,2.48
783,CC1=C(C)C2=C(N=CN=C2S1)N1CCN(CC1)C1=NC=CC=N1,7.4,3.66
784,CC1=C(C)C2=C(S1)N1C(C)=NN=C1[C@H](CC(=O)OC(C)(C)C)N=C2C1=CC=C(Cl)C=C1,7.4,3.82
785,CC1=C(C)C2=C(SCC(=O)N3CCCC3)N=CN=C2S1,7.4,2.89
786,CC1=C(C)C2=C(SCC(=O)N3CCN(CC3)C(=O)C3=CC=CO3)N=CN=C2S1,7.4,2.7
787,CC1=C(C)C=C(CN2NC(=O)C3=C(C2=O)C(=O)C2=CC=C(Cl)C=C2N3)O1,7.4,1.0
788,CC1=C(C)C=C2C(C)=NC(NC(N)=N)=NC2=C1,7.4,0.7
789,CC1=C(C2=C(NS(C)(=O)=O)C=CC=C2N1CC(O)=O)S(=O)(=O)C1=CC=C(Cl)C=C1,7.4,-0.83
790,CC1=C(C2=CC(C)=CC=C2N1CC(O)=O)C1=C2C=C(C=CC2=NC=C1)C(F)(F)F,7.4,1.78
791,CC1=C(C2=CC(C)=CC=C2N1CC(O)=O)C1=C2C=CC(=CC2=NC=C1)C(F)(F)F,7.4,1.78
792,CC1=C(C2=CC(C)=CC=C2N1CC(O)=O)C1=C2C=CC(Cl)=CC2=NC=C1,7.4,1.59
793,CC1=C(C2=CC(C)=CC=C2N1CC(O)=O)C1=C2C=CC=C(C#N)C2=NC=C1,7.4,0.52
794,CC1=C(C2=CC(C)=CC=C2N1CC(O)=O)C1=C2C=CC=C(C2=NC=C1)C(F)(F)F,7.4,1.27
795,CC1=C(C2=CC(C)=CC=C2N1CC(O)=O)C1=C2C=CC=C(C2=NC=C1)S(C)(=O)=O,7.4,-0.34
796,CC1=C(C2=CC(C)=CC=C2N1CC(O)=O)C1=C2C=CC=C(Cl)C2=NC=C1,7.4,1.27
797,CC1=C(C2=CC(C)=CC=C2N1CC(O)=O)C1=C2C=CC=C(F)C2=NC=C1,7.4,0.53
798,CC1=C(C2=CC(C)=CC=C2N1CC(O)=O)C1=C2C=CC=CC2=NC(C)=C1,7.4,2.88
799,CC1=C(C2=CC(C)=CC=C2N1CC(O)=O)C1=CC=NC2=C1C=CC=C2C,7.4,1.29
800,CC1=C(C2=CC(C)=CC=C2N1CC(O)=O)S(=O)(=O)C1=CC=C(Cl)C=C1,7.4,0.06
801,CC1=C(C2=CC(F)=CC=C2N1CC(O)=O)S(=O)(=O)C1=CC=C(Cl)C=C1,7.4,-0.16
802,CC1=C(C2=CC=C(C)C=C2N1CC(O)=O)C1=C2C=CC(Cl)=CC2=NC=C1,7.4,2.41
803,CC1=C(C=C(CN2CCNCC2)O1)C(=O)NCC12CC3CC(CC(C3)C1)C2,7.4,1.03
804,CC1=C(C=C(CN2CCNCC2)S1)C(=O)NCC12CC3CC(CC(C3)C1)C2,7.4,2.55
805,CC1=C(C=C(O1)C1=CC=C(Cl)C=C1)C(O)=O,7.4,1.67
806,CC1=C(C=C(O1)C1=CC=CC=C1)C(=O)NC1=CC=CC(=C1)C(O)=O,7.4,1.63
807,CC1=C(C=NN1C1=CC=C(C=C1)C(O)=O)C(=O)NC1C2CC3CC(C2)CC1C3,7.4,0.8
808,CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F,7.4,3.9
809,CC1=C(CC(NC(=O)C(CC2=C(C)NC3=CC=CC=C23)NC(=O)C(C)(C)N)C(N)=O)C2=CC=CC=C2N1,7.0,1.73
810,CC1=C(CC(O)=O)C2=C(C=CC(F)=C2)\C1=C/C1=CC=C(C=C1)S(C)=O,7.4,0.12
811,CC1=C(CC(O)=O)C2=CC(F)=CC=C2N1S(=O)(=O)C1=CC=C(C=C1)S(C)(=O)=O,7.4,-0.44
812,CC1=C(CC2=CC=CC=C2)C(=O)N2N=C(NCC3=CC=C(Cl)C=C3)N=C2N1,7.4,3.7
813,CC1=C(CC2=CC=CC=C2)C(=O)N2N=C(NCC3=CC=CC(Br)=C3)N=C2N1,7.4,3.68
814,CC1=C(CC2=CC=CC=C2)C(=O)N2N=C(NCC3=CC=CC(Cl)=C3)N=C2N1,7.4,3.6
815,CC1=C(CCC(O)=O)C(=O)OC2=CC(O)=CC=C12,7.4,-0.7
816,CC1=C(CCC2CCN(CC2)S(=O)(=O)CC2(CCC(F)(F)CC2)N(O)C=O)C(C)=NO1,7.4,2.1
817,CC1=C(CCC2CCN(CC2)S(=O)(=O)CC2(CCOCC2)N(O)C=O)C(C)=NO1,7.4,0.9
818,CC1=C(CCC2CCN(CC2)S(=O)(=O)CC2(CCOCC2)N(O)C=O)C(C)=NS1,7.4,1.5
819,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,7.4,1.8199999999999998
820,CC1=C(CCN2CCC3(CC2)OC(=O)NC2=CC=C(C)C=C32)N=C(O1)C1=CC=CC=C1,7.4,4.2
821,CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C2=C(N1)C=CC=C2,7.4,1.1
822,CC1=C(CCOC2=CC=C(C[C@H](NC3=CC=CC=C3C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1,7.4,3.5
823,CC1=C(CCOCCCS(=O)(=O)CCNCCC2=C3SC(O)=NC3=C(O)C=C2)SC=N1,7.4,1.44
824,CC1=C(CN2NC(=O)C3=C(C2=O)C(=O)C2=CC=C(Cl)C=C2N3)SC=C1,7.4,1.15
825,CC1=C(Cl)C(=CC=C1OC1CCN(CC2CCN(CC2)[C@@H](CC2=CC=C(F)C=C2)C(O)=O)CC1)C#N,7.4,2.19
826,CC1=C(Cl)C(Cl)=C(N1)C(=O)NC1CCN(CC1)C1=CC(=CC(Cl)=N1)C(O)=O,7.4,1.74
827,CC1=C(Cl)C(Cl)=C(N1)C(=O)NC1CCN(CC1)C1=NC(=CS1)C(O)=O,7.4,0.14
828,CC1=C(Cl)C(Cl)=C(N1)C(=O)NC1CCN(CC1)C1=NC=C(S1)C(O)=O,7.4,0.02
829,CC1=C(Cl)C(Cl)=CC=C1OC1CCN(CC2CCN(CC2)[C@@](C)(CC2=CC=C(F)C=C2)C(O)=O)CC1,7.4,2.98
830,CC1=C(Cl)C=CC(OC2CCN(CC2)C2CCN(CC2)C(=O)C2=CC=CC(=C2)S(C)(=O)=O)=C1Cl,7.4,3.33
831,CC1=C(Cl)C=CC(OC2CCN(CC3CCN(CC3)[C@@H](CC3=CC=C(F)C=C3)C(O)=O)CC2)=C1Cl,7.4,3.15
832,CC1=C(Cl)C=CC(OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)C4=CC(=CC=C34)S(C)(=O)=O)CC2)=C1Cl,7.4,2.83
833,CC1=C(Cl)C=CC(OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)C=C3C(F)(F)F)CC2)=C1Cl,7.4,3.14
834,CC1=C(Cl)C=CC(OC2CCN(C[C@H](O)CNC(=O)C3=CNN=C3C(F)(F)F)CC2)=C1Cl,7.4,3.66
835,CC1=C(F)C=C(C=C1C1=CC=C(C=N1)C(=O)NCC(C)(C)C)C(=O)NC1CC1,7.4,3.5
836,CC1=C(N)C=CC=C1CN1C=CC(OCCC2=CC=CS2)=CC1=O,7.4,2.78
837,CC1=C(N2C=C(Br)C=CC2=N1)C1=NN(C=C1)S(=O)(=O)C1=CC(=CC=C1C)[N+]([O-])=O,7.4,3.52
838,CC1=C(N2C=C(Cl)C=CC2=N1)C1=CC=NC(N)=N1,7.4,2.49
839,CC1=C(N2C=CC(C)=CC2=N1)C1=CC=NC(N)=N1,7.4,2.39
840,CC1=C(N2C=CC=CC2=N1)C1=CC=NC(NC2=CC=CC(Cl)=C2)=N1,7.4,2.7
841,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=C(O)C=C1)C2=O)C(O)=O,7.4,-1.315
842,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=CC=C1)C2=O)C(O)=O,7.4,-1.0
843,CC1=C(N=C(N)S1)C1=CC=CC=C1,7.4,2.75
844,CC1=C(N=C(S1)N1CCN(CC1)C(=O)[C@@H]1CCCC[C@H]1C(=O)NC1(CC1)C#N)C(F)(F)F,7.4,2.87
845,CC1=C(NC=C1CCC(O)=O)\C=C1/C(=O)NC2=CC=CC=C12,7.4,1.05
846,CC1=C(NC=N1)C1=CC=C(C)C(NC(=O)C2=CC=C(OCC3=CC=CC=N3)C=C2)=C1,7.4,2.87
847,CC1=C(OC2=C(C=CC=C2C1=O)C(=O)OCCN1CCCCC1)C1=CC=CC=C1,7.4,3.42
848,CC1=C(OC2=CC=C(Cl)C=C2)C2=C(NS(C)(=O)=O)C=CC=C2N1CC(O)=O,7.4,-0.98
849,CC1=C(OC2=CC=C(Cl)C=C2)C2=CC(=CC=C2N1CC(O)=O)C(F)(F)F,7.4,2.28
850,CC1=C(OC2=CC=C(Cl)C=C2)C2=CC(F)=CC=C2N1CC(O)=O,7.4,1.26
851,CC1=C(OCC(F)(F)F)C=CN=C1C[S+]([O-])C1=NC2=CC=CC=C2N1,7.4,2.7
852,CC1=C(OCC(O)CNCCOC2=CC=C(C=C2)C(N)=O)C=CC=C1,7.4,1.81
853,CC1=C(OCC2=CC=C(F)C=C2)C(=O)C=CO1,7.4,1.91
854,CC1=C(OCC2=CC=CC=C2)C(=O)C=CO1,7.4,1.87
855,CC1=C(O[C@@H]2C[C@@H]3CC[C@H](C2)N3CC2=CC=CC=C2)C=CC=C1C(N)=O,7.4,1.6
856,CC1=C(SC2=CC=C(C=C2)S(C)(=O)=O)C2=CC(C)=CC=C2N1CC(O)=O,7.4,-0.08
857,CC1=C(SC2=CC=C(Cl)C=C2)C2=C(C#N)C(Cl)=CC=C2N1CC(O)=O,7.4,1.6
858,CC1=C(SC2=CC=C(Cl)C=C2)C2=C(C)C(F)=CC=C2N1CC(O)=O,7.4,2.23
859,CC1=C(SC2=CC=C(Cl)C=C2)C2=C(C=CC=C2N1CC(O)=O)C1=CC=CC=C1,7.4,2.61
860,CC1=C(SC2=CC=C(Cl)C=C2)C2=C(C=CC=C2N1CC(O)=O)C1=CN=CC=N1,7.4,0.03
861,CC1=C(SC2=CC=C(Cl)C=C2)C2=C(C=CC=C2N1CC(O)=O)S(C)(=O)=O,7.4,0.58
862,CC1=C(SC2=CC=C(Cl)C=C2)C2=C(Cl)C=CC=C2N1CC(O)=O,7.4,2.15
863,CC1=C(SC2=CC=C(Cl)C=C2)C2=C(Cl)N=CC=C2N1CC(O)=O,7.4,0.92
864,CC1=C(SC2=CC=C(Cl)C=C2)C2=C(NS(C)(=O)=O)C=CC=C2N1CC(O)=O,7.4,0.21
865,CC1=C(SC2=CC=C(Cl)C=C2)C2=CC(=CC=C2N1CC(O)=O)C1=CC=CC=C1,7.4,3.7
866,CC1=C(SC2=CC=C(Cl)C=C2)C2=CC(=CC=C2N1CC(O)=O)S(C)(=O)=O,7.4,0.54
867,CC1=C(SC2=CC=C(Cl)C=C2)C2=CC(C)=CC=C2N1CC(O)=O,7.4,2.18
868,CC1=C(SC2=CC=C(Cl)C=C2)C2=CC(Cl)=CC=C2N1CC(O)=O,7.4,2.87
869,CC1=C(SC2=CC=C(Cl)C=C2)C2=CC(Cl)=CC=C2N1CC1=NN=NN1,7.4,3.25
870,CC1=C(SC2=CC=C(Cl)C=C2)C2=CC(F)=CC=C2N1CC(O)=O,7.4,1.84
871,CC1=C(SC2=CC=C(Cl)C=C2)C2=CC=C(C=C2N1CC(O)=O)S(C)(=O)=O,7.4,0.79
872,CC1=C(SC2=CC=C(Cl)C=C2)C2=CC=C(Cl)C=C2N1CC(O)=O,7.4,2.51
873,CC1=C(SC2=CC=C(Cl)C=C2)C2=CC=CC(Cl)=C2N1CC(O)=O,7.4,2.0
874,CC1=C(SC2=CC=C(Cl)C=C2)C2=NC(C)=CC=C2N1CC(O)=O,7.4,0.35
875,CC1=C(SC2=CC=CC(Cl)=C2)C2=CC(C)=CC=C2N1CC(O)=O,7.4,1.85
876,CC1=C(SC2=CC=CC=C2Cl)C2=CC(C)=CC=C2N1CC(O)=O,7.4,1.71
877,CC1=C(SC2=NC=NC(O)=C12)C(=O)NC1=CC=CC=C1,7.4,2.13
878,CC1=C(SC=C1)C(=CCCN1CCC[C@H](C1)C(O)=O)C1=C(C)C=CS1,7.4,1.49
879,CC1=C(SN=N1)C(=O)NC1=CC=CC=C1,7.4,0.97
880,CC1=C([S+]([O-])C2=CC=C(Cl)C=C2)C2=CC(C)=CC=C2N1CC(O)=O,7.4,0.05
881,CC1=C2C(=O)N(NC2=CC(=O)N1CC1=CC=CC=N1)C1=CC=CC=C1Cl,7.4,0.2
882,CC1=C2C=CC=CC2=NC(NC(N)=N)=N1,7.4,-0.49
883,CC1=C2NC3=C(CN(CC3)C(=O)[C@@H]3CCCC[C@H]3C(=O)NC3(CC3)C#N)C2=CC=C1,7.4,2.99
884,CC1=C2NC=C(CCNCC3=CC=CC(CCNC[C@H](O)C4=CC=C(O)C5=C4SC(=O)N5)=C3)C2=CC=C1,7.4,1.13
885,CC1=C2OC(=O)C(CCC(O)=O)=C(C)C2=CC=C1O,7.4,-0.3
886,CC1=CC(=C(S)C=C1Cl)S(=O)(=O)NC1=NC(NC2=CC=C(Cl)C=C2)=NN1,7.4,2.09
887,CC1=CC(=CC(C)=C1)C1=C(CCNCCCCC2=CC=NC=C2)C2=CC(=CC=C2N1)C(C)(C)C(=O)N1C2CCC1CC2,7.4,4.3
888,CC1=CC(=CC(C)=C1)C1=C(CCNCCCCC2=CC=NC=C2)C2=CC=CC=C2N1,7.4,3.3
889,CC1=CC(=CC(C)=C1)C1=C(O)N=C2C=C(Cl)C(=CC2=C1OCCC1CCCCN1)C(=O)NC1=CC=NC=N1,7.4,1.7
890,CC1=CC(=CC(C)=C1)C1=NN=C(O1)SCC(=O)N1CCN(CC1)C(=O)C1=CC=CO1,7.4,3.0
891,CC1=CC(=CC=C1O[C@@H]1C[C@@H]2CC[C@H](C1)N2CC1=CC=CC=C1)C(N)=O,7.4,2.23
892,CC1=CC(=CC=N1)C1=CC=C(C=C1)C1=C(C#N)C(O)=C2C=NC=CC2=N1,7.4,1.6
893,CC1=CC(=NC(=N1)N1C=CN=C1)N1CCC[C@@H]1C(=O)NCCC1=CC=C2OCOC2=C1,7.4,2.5
894,CC1=CC(=NN1)C1=CC=C(Cl)C(=C1)C(=O)NCC1(O)CCCCCC1,7.4,3.41
895,CC1=CC(=NN1C[C@H](O)CN)C1=CC=C(Cl)C(=C1)C(=O)NCC1(O)CCCCCC1,7.4,0.57
896,CC1=CC(=NO1)[C@H](O)[C@](C)(OCC1=CC=C(C=C1)C1=CC=CC=C1)C(=O)NO,7.4,2.88
897,CC1=CC(=O)NC2=C1C(N)=C(S2)C(=O)C1=CC=C(Br)C=C1,7.4,2.57
898,CC1=CC(=O)NC2=CC=CC=C12,7.4,1.9
899,CC1=CC(=O)OC2=C3CCCNC3=C(C)C=C12,7.4,2.9
900,CC1=CC(=O)OC2=CC3=C(CCCN3)C=C12,7.4,2.7
901,CC1=CC(C(=O)CN2C=C(C=CC2=O)C(F)(F)F)=C(C)N1CC1=CC=CC=C1,7.4,3.46
902,CC1=CC(C(=O)NS(=O)(=O)C2=CC=C(C)C=C2)=C(C)N1C1=CC=C(C)C=C1,7.4,2.5
903,CC1=CC(C)=C(C(=O)N[C@@H](CC2=CC=C(OCCCNC3=CC=CC=N3)C=C2)C(O)=O)C(C)=C1,7.4,0.49
904,CC1=CC(C)=C2C(N)=C(SC2=N1)C(=O)NC1CC1,7.4,2.53
905,CC1=CC(C)=C2C(N)=C(SC2=N1)C(=O)NCC1=CC=CC=C1,7.4,3.41
