,smiles,logD,pH
224,Fc1cc(F)cc(F)c1CN1c2c(cccc2)[C@](NCC1=O)([C@H](Oc1nc(cc(n1)C)C)C(O)=O)c1ccccc1,0.4,7.4
225,Fc1cc(F)ccc1-c1cc(C(O)=O)c(O)cc1,0.37,7.4
226,Fc1cc(F)ccc1C(O)(Cn1ncnc1)Cn1ncnc1,0.5,7.4
227,Fc1cc(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CC(NC(C3)C)C)cc12,-0.73,7.4
228,Fc1cc(F)ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNCC3)cc12,-0.48,7.4
229,Fc1cc(F)ccc1[NH+]1c2nc(N3C[C@@H]4[C@H](C3)C4N)c(F)cc2C([O-])=C(C(O)=O)[CH-]1,0.25,7.4
230,Fc1cc(N(Cc2cc(OC)ccc2OC)C(=O)C)c(Oc2ccccc2)cc1,3.65,7.4
231,Fc1cc(N(Cc2cc(OC)ccc2OCCF)C(=O)C)c(Oc2ccccc2)cc1,3.81,7.4
232,Fc1cc(N(Cc2cc(OC)ccc2OCF)C(=O)C)c(Oc2ccccc2)cc1,3.7,7.4
233,Fc1cc(NC(=O)Cc2[nH]nc(Nc3ncnc4c3cc(OC)c(OCCCN(CCO)CC)c4)c2)ccc1,2.1,7.4
234,Fc1cc(NC(=O)Cc2[nH]nc(Nc3ncnc4c3cc(OC)c(OCCCN3CCC(CC3)CO)c4)c2)ccc1,2.1,7.4
235,Fc1cc(N\C(=N/O)\c2ccc(OC)cc2)ccc1,3.09,7.4
236,Fc1cc(ccc1)-c1nn2c(N=C(C=C2N2CCNCC2)C)c1,3.44,7.4
237,Fc1cc(ccc1)-c1nn2c(N=C(C=C2NCCCN2CCCC2)c2ccccc2)c1,4.79,7.4
238,Fc1cc(ccc1)-c1nn2c(N=C(C=C2NCCCN2CCOCC2)C)c1,4.44,7.4
239,Fc1cc(ccc1)-c1nn2c(N=C(C=C2NCCCn2ccnc2)C)c1,3.67,7.4
240,Fc1cc(ccc1-c1ccccc1)[C@@H](C(O)=O)C,0.91,7.4
241,Fc1cc(ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CC(NC(C3)C)C)cc12)C,0.31,7.4
242,Fc1cc(ccc1N1C=C(C(O)=O)C(=O)c2cc(F)c(N3CCNCC3)cc12)C,0.31,7.4
243,Fc1cc2c(-n3c(CN(C)C2=O)c(nc3)C(OCC)=O)cc1,1.21,7.4
244,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)c(OC)c1N1CC(NCC1)C,-0.79,7.4
245,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)c(OC)c1N1C[C@H]2[C@H](NCCC2)C1,-0.16,7.4
246,Fc1cc2c(N(C=C(C(O)=O)C2=O)C2CC2)cc1N1CCNCC1,-0.96,7.4
247,Fc1cc2c(N(C=C(C(O)=O)C2=O)CC)cc1N1CCNCC1,-0.5,7.4
248,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(F)cc2)cc1N1CC(NC(C1)C)C,-1.11,7.4
249,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(F)cc2)cc1N1CCNCC1,-1.18,7.4
250,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(F)cc2C)cc1N1CC(NC(C1)C)C,-1.05,7.4
251,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(F)cc2C)cc1N1CCNCC1,-0.43,7.4
252,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(cc2)C)cc1N1CC(NC(C1)C)C,0.16,7.4
253,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(cc2)C)cc1N1CCNCC1,-0.73,7.4
254,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(cc2C)C)cc1N1CC(NC(C1)C)C,0.02,7.4
255,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccc(cc2C)C)cc1N1CCNCC1,-0.07,7.4
256,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccccc2)cc1N1CC(NC(C1)C)C,-0.12,7.4
257,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccccc2)cc1N1CCNCC1,-0.97,7.4
258,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccccc2C)cc1N1CC(NC(C1)C)C,-0.17,7.4
259,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccccc2C)cc1N1CCNCC1,-0.83,7.4
260,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccccc2F)cc1N1CC(NC(C1)C)C,-0.23,7.4
261,Fc1cc2c(N(C=C(C(O)=O)C2=O)c2ccccc2F)cc1N1CCNCC1,-1.99,7.4
262,Fc1cc2c([NH+](C3CC3)[CH-]C(C(O)=O)=C2[O-])cc1N1CCNCC1,-1.12,7.4
263,Fc1cc2c3N(C=C(C(O)=O)C2=O)[C@H](COc3c1N1CCN(CC1)C)C,-0.43,7.4
264,Fc1cc2c3[NH+]([C@@H](CCc3c1)C)[CH-]C(C(O)=O)=C2[O-],0.65,7.4
265,Fc1ccc(N\C(=N/O)\c2ccc(OC)cc2)cc1,3.02,7.4
266,Fc1ccc(N\C(=N\O)\c2ccccc2-c2ccccc2)cc1,3.98,7.4
267,Fc1ccc(Oc2cc(cnc2)-c2cc3nc([nH]c3cc2)N)cc1,3.11,7.4
268,Fc1ccc(cc1)-c1c2c(n(C(C)C)c1\C=C\[C@@H](O)C[C@@H](O)CC(O)=O)cccc2,1.4,7.4
269,Fc1ccc(cc1)-c1c2c(n(C(C)C)c1\C=C\[C@H](O)C[C@@H](O)CC(O)=O)cccc2,1.14,7.4
270,Fc1ccc(cc1)-c1nn2c(N=C(C=C2N2CCNCC2)C(C)(C)C)c1,4.15,7.4
271,Fc1ccc(cc1)-c1nn2c(N=C(C=C2NC2CCNCC2)c2ccccc2)c1,4.2,7.4
272,Fc1ccc(cc1)-c1nn2c(N=C(C=C2NCCCN(CC)CC)c2ccccc2)c1,4.84,7.4
273,Fc1ccc(cc1)-c1nn2c(N=C(C=C2NCCCN2CCCC2=O)c2ccccc2)c1,4.77,7.4
274,Fc1ccc(cc1)-c1oc(nc1COCC(F)(F)F)C1CCN(CC1)CCc1ccc(cc1)C(N)=N,3.76,7.4
275,Fc1ccc(cc1)/C(=N/O)/NC1CCCCC1,4.02,7.4
276,Fc1ccc(cc1)C(=O)CCCN1CCN(CC1)c1ccccc1OC,2.93,7.4
277,Fc1ccc(cc1)C1(OCc2c1ccc(c2)C#N)CCCN(C)C,1.94,7.4
278,Fc1ccc(cc1)CCCNC(=O)C1(CCCC1)C[C@@H](CCOC)C(O)=O,0.5,7.4
279,Fc1ccc(cc1)CNC(=O)C(Cc1ccccc1)C(=O)NO,1.2,7.4
280,Fc1ccc(cc1)CNC(=O)\C(=C\c1ccccc1)\C(=O)NO,1.1,7.4
281,Fc1ccc(cc1)C[C@H](N(CC#C)C)C,2.7,7.4
282,Fc1ccc(cc1)[C@@H]1CCNC[C@H]1COc1cc2OCOc2cc1,2.27,7.4
283,Fc1ccc(cc1C(F)(F)F)COC[C@@H]1N(C(=O)CNC1)c1ccc(OCCCOCc2ccccc2OC)cc1,3.7,7.4
284,Fc1cccc(F)c1/C(=N/O)/NC1CCCCC1,3.67,7.4
285,Fc1ccccc1Oc1ncccc1/C(=N\O)/NC1CCCCC1,3.99,7.4
286,Fc1ncc(cc1-c1ccc(F)nc1)[C@@H]1[C@@H]2N([C@@H](C1)CC2)C,0.96,7.4
287,Fc1ncc(cc1-c1ccc(nc1)C#N)[C@@H]1[C@@H]2N([C@@H](C1)CC2)C,0.64,7.4
288,ICOc1ccc(OC)cc1CN(C(=O)C)c1cc(F)ccc1Oc1ccccc1,4.02,7.4
289,Ic1cc(N(Cc2cc(OC)ccc2OC)C(=O)C)c(Oc2ccccc2)cc1,4.03,7.4
290,Ic1cc(cc(I)c1OCCCN(C)C)C(=O)c1c2c(oc1CCCC)cccc2,5.77,7.4
291,Ic1cc(cc(I)c1OCCN(C(C)C)C(C)C)C(=O)c1c2c(oc1CCCC)cccc2,6.66,7.4
292,Ic1cc(cc(I)c1OCCN(C)C)C(=O)c1c2c(oc1CCCC)cccc2,5.39,7.4
293,Ic1cc(cc(I)c1OCCN(CC)CC)C(=O)c1c2c(oc1CCCC)cccc2,6.1,7.4
294,Ic1cc(cc(I)c1OCCN1CCCC1)C(=O)c1c2c(oc1CCCC)cccc2,6.03,7.4
295,Ic1cc(cc(I)c1OCCN1CCCCC1)C(=O)c1c2c(oc1CCCC)cccc2,6.16,7.4
296,Ic1cc(cc(I)c1OCCN1CCOCC1)C(=O)c1c2c(oc1CCCC)cccc2,4.76,7.4
297,Ic1ccc(OC)cc1CN(C(=O)C)c1cc(F)ccc1Oc1ccccc1,4.42,7.4
298,Ic1ccc(S[Tc-]23(SCC[N+]2(CCS3)CCN(CC)CC)[OH2+])cc1,2.77,7.4
299,N(C(=N)c1ccccc1-c1ccccc1)C1CCCCC1,2.87,7.4
300,N(C(Nc1ccc(cc1)C(C)(C)C)=N)c1ccc(cc1)C(C)(C)C,3.65,7.4
301,N(C(Nc1ccc(cc1)C(C)C)=N)c1ccc(cc1)C(C)C,2.72,7.4
302,N(C(Nc1ccc(cc1)C(CC)C)=N)c1c2c3c(CCc3ccc2)cc1,3.31,7.4
303,N(C(Nc1ccc(cc1)C(CC)C)=N)c1ccc(cc1)C(CC)C,3.94,7.4
304,N(C(Nc1ccc(cc1)CC)=N)c1ccc(cc1)CC,1.7,7.4
305,N(C(Nc1ccc(cc1)CCCC)=N)c1ccc(cc1)CCCC,4.1,7.4
306,N(C(Nc1ccc(cc1)CCCCCC)=N)c1ccc(cc1)CCCCCC,6.07,7.4
307,N(C(Nc1ccccc1C)=N)c1ccccc1C,0.7,7.4
308,N(CCC=C1c2c(C=Cc3c1cccc3)cccc2)(C)C,2.92,7.4
309,N(CCC=C1c2c(CCc3c1cccc3)cccc2)(C)C,2.815,7.4
310,N(CCC=C1c2c(CCc3c1cccc3)cccc2)C,2.02,7.4
311,N(CCCC12CCC(c3c1cccc3)c1c2cccc1)C,1.12,7.4
312,N(CCCN1c2c(CCc3c1cccc3)cccc2)(C)C,2.505,7.4
313,N(CCCN1c2c(CCc3c1cccc3)cccc2)C,1.45,7.4
314,N(Cc1ccc(cc1)-c1ccccc1)C(CCCCC)C,4.2,7.4
315,N(Cc1ccccc1)C,0.86,7.4
316,N([C@@H](Cc1ccccc1)C)(CC#C)C,2.49,7.4
317,N1(CCC(CC1)=C1c2c(C=Cc3c1cccc3)cccc2)C,3.11,7.4
318,N12CC(N3c4c(CCc5c3cccc5)cccc4)C(CC1)CC2,1.36,7.4
319,N1[C@@H]2Cc3c(cccc3)[C@]1(c1c2cccc1)C,1.79,7.4
320,NC(=N)N1CCc2c(C1)cccc2,-0.87,7.4
321,O(C(=O)C(=O)Nc1cc(ccc1)-c1nn[nH]n1)CCCC,-0.54,7.4
322,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)CC,3.5,7.4
323,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1cc([N+](=O)[O-])ccc1)CCN(Cc1ccccc1)C,4.25,7.4
324,O(C(=O)C=1C(C(C(OC)=O)=C(NC=1C)C)c1ccccc1[N+](=O)[O-])C,3.17,7.4
325,O(C(=O)[C@H]1CC2N(C(CC2)[C@H]1C(OC)=O)C)c1ccccc1,1.05,7.4
326,O(C(=O)c1ccc(N)cc1)CC,1.9,7.4
327,O(C(=O)c1ccc(N)cc1)CCN(CC)CC,0.43,7.4
328,O(C(=O)c1ccc(NCCCC)cc1)CCN(C)C,2.29,7.4
329,O(C(=O)c1ccc(OC)cc1)C1=CC(=O)N(C1)C,2.72,7.4
330,O(C(=O)c1ccccc1)C1=CC(=O)N(C1)C,2.34,7.4
331,O(C(=O)c1ccccc1)[C@H]1C[C@H]2N([C@H](CC2)[C@H]1C(OC)=O)C,1.07,7.4
332,O(C(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1nc[nH]c1)C(=O)NC(C(O)CC(=O)N[C@@H](CC(C)C)C(=O)NCCN=C(N)N)CC(C)C,2.1,7.4
333,O(C(c1ccccc1)c1ccccc1)CCN(C)C,1.34,7.4
334,O(C)C1=CC=C2c3c(cc(OC)c(OC)c3OC)CC[C@H](NC(=O)C)C2=CC1=O,0.9,7.4
335,O(C)c1c(OC)cc(cc1OC)Cc1cnc(nc1N)N,0.63,7.4
336,O(C)c1c2nccc(c2ccc1)-c1c2cc(ccc2n(CC(O)=O)c1C)C,0.5,7.4
337,O(C)c1cc(CC(=O)N2CCC(n3c4c(nc3O)cccc4)CC2)c([N+](=O)[O-])cc1OC,2.4,7.4
338,O(C)c1cc(N[C@@H](CCCN)C)c2ncccc2c1,1.17,7.4
339,O(C)c1cc(\C=C\C(=O)N2CCC(n3c4c(nc3O)cccc4)CC2)c([N+](=O)[O-])cc1OC,3.0,7.4
340,O(C)c1cc(\C=C\C(=O)N2CCC3(N(CNC3=O)c3ccccc3)CC2)c([N+](=O)[O-])cc1OC,3.0,7.4
341,O(C)c1cc(c2c(nc(nc2)Nc2ccc(N3CCN(CC3)C(=O)C)cc2)c1C1CCCC1)C,3.77,7.4
342,O(C)c1cc(c2c(nc(nc2)Nc2ccc(N3CCNCC3)cc2)c1C1CCCC1)C,2.32,7.4
343,O(C)c1cc(ccc1)/C(=N/O)/NC1CCCCC1,3.84,7.4
344,O(C)c1cc(ccc1)[C@H](N1C[C@H](N(C[C@@H]1C)Cc1ccccc1)C)c1cc2c(CCN(C2)C(=O)CC(O)=O)cc1,1.3,7.4
345,O(C)c1cc(ccc1)[C@H](N1C[C@H](N(C[C@@H]1C)Cc1ccccc1)C)c1cc2c(CCN(C2)CC(O)=O)cc1,2.5,7.4
346,O(C)c1cc(ccc1)[C@H](N1C[C@H](N(C[C@@H]1C)Cc1ccccc1)C)c1cc2c(CCN(C2)CCC(O)=O)cc1,2.3,7.4
347,O(C)c1cc(ccc1OC)C(C(C)C)(CCCN(CCc1cc(OC)c(OC)cc1)C)C#N,2.36,7.4
348,O(C)c1cc(ccc1OC)CCC1=Nc2c(-n3c1ccc3)cccc2,2.97,7.4
349,O(C)c1cc(ccc1OC)Cc1nccc2c1cc(OC)c(OC)c2,2.89,7.4
350,O(C)c1cc2-n3c(ccc3)C(=Nc2cc1)NCCCN(CCCNC1=Nc2c(-n3c1ccc3)cc(OC)cc2)C,3.41,7.4
351,O(C)c1cc2-n3c(ccc3)C(=Nc2cc1)NCCCN1CCN(CC1)CCCNC1=Nc2c(-n3c1ccc3)cc(OC)cc2,4.67,7.4
352,O(C)c1cc2-n3c(ccc3)C(=Nc2cc1)NCCCNCCCNC1=Nc2c(-n3c1ccc3)cc(OC)cc2,2.58,7.4
353,O(C)c1cc2-n3c(ccc3)C(=Nc2cc1)\C=C\C,3.48,7.4
354,O(C)c1cc2-n3c(ccc3)C(=Nc2cc1)\C=C\CCC,4.3,7.4
355,O(C)c1cc2CCN3[C@@H](C[C@H](N)[C@H](C3)c3cc(ccc3)C)c2cc1OC,1.3,7.4
356,O(C)c1cc2N([C@@H]3[C@@]4([C@H]5N(CC=C[C@@]5(CC)[C@@H](OC(=O)C)[C@]3(O)C(OC)=O)CC4)c2cc1[C@@]1(c2[nH]c3c(c2CCN2C[C@@](O)(C[C@H](C1)C2)CC)cccc3)C(OC)=O)C=O,0.45,7.4
357,O(C)c1cc2N=C(NCCCN(CCCNC3=Nc4cc(OC)ccc4-n4c3ccc4)C)c3n(-c2cc1)ccc3,3.55,7.4
358,O(C)c1cc2N=C(NCCCN3CCN(CC3)CCCNC3=Nc4cc(OC)ccc4-n4c3ccc4)c3n(-c2cc1)ccc3,3.72,7.4
359,O(C)c1cc2N=C(NCCCNCCCNC3=Nc4cc(OC)ccc4-n4c3ccc4)c3n(-c2cc1)ccc3,2.76,7.4
360,O(C)c1cc2N=C(c3n(-c2cc1)ccc3)CCC,3.4,7.4
361,O(C)c1cc2N=C(c3n(-c2cc1)ccc3)CCCCC,4.38,7.4
362,O(C)c1cc2N=C(c3n(-c2cc1)ccc3)\C=C\C,3.47,7.4
363,O(C)c1cc2N=C(c3n(-c2cc1)ccc3)\C=C\CCC,4.52,7.4
364,O(C)c1cc2N=C(c3n(-c2cc1)ccc3)\C=C\c1ccccc1,5.34,7.4
365,O(C)c1cc2c(cc(cc2)CCC(=O)C)cc1,3.3,7.4
366,O(C)c1cc2c(cc(cc2)CC\C(=N\O)\C)cc1,3.6,7.4
367,O(C)c1cc2c(cc(cc2)[C@@H](C(O)=O)C)cc1,0.245,7.4
368,O(C)c1cc2c(nccc2[C@H](O)C2N3CC(C(C2)CC3)C=C)cc1,2.14,7.4
369,O(C)c1cc2c(nccc2[C@H](O)[C@@H]2N3C[C@@H]([C@H](C2)CC3)C=C)cc1,2.41,7.4
370,O(C)c1cc2c(ncnc2Nc2ccc(NC(=O)c3ccccc3)cc2)cc1OC,3.7,7.4
371,O(C)c1ccc(Nc2ccccc2NC(=O)c2ccc(O)nc2)cc1,2.92,7.4
372,O(C)c1ccc(cc1)/C(=N/O)/CNC1CCCCC1,2.93,7.4
373,O(C)c1ccc(cc1)/C(=N/O)/NC1CCCCC1,3.82,7.4
374,O(C)c1ccc(cc1)/C(=N/O)/Nc1cc(ccc1)C#N,2.41,7.4
375,O(C)c1ccc(cc1)/C(=N\O)/COC,1.64,7.4
376,O(C)c1ccc(cc1)/C(=N\O)/Nc1cc(ccc1)CC,3.76,7.4
377,O(C)c1ccc(cc1)/C(=N\O)/Nc1ccccc1,3.1,7.4
378,O(C)c1ccc(cc1)C(=O)c1cc(n(c1)CC(O)=O)C(=O)c1ccc(OC)cc1,0.39,7.4
379,O(C)c1ccc(cc1)C(=O)c1cc(n(c1)CC(O)=O)C(=O)c1ccccc1,0.12,7.4
380,O(C)c1ccc(cc1)C(=O)c1ccn(c1)CC(O)=O,-0.96,7.4
381,O(C)c1ccc(cc1)C(=O)c1n(ccc1)CC(O)=O,-0.87,7.4
382,O(C)c1ccc(cc1)C(CN(C)C)C1(O)CCCCC1,0.88,7.4
383,O(C)c1ccc(cc1)CCNC(=O)c1n2c(nc1C)C=CC=C2,3.39,7.4
384,O(C)c1ccc(cc1)C[C@H](NC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1c2c([nH]c1)cccc2)C(=O)N[C@@H](Cc1ccccc1)C(=O)N,1.63,7.4
385,O(C)c1ccc(cc1)C[C@H](NC[C@H](O)c1cc(NC=O)c(O)cc1)C,0.79,7.4
386,O(C)c1ccc(cc1)[C@@H]1C[C@H]1NC(=O)C1(CCCC1)C[C@@H](CCOC)C(O)=O,0.3,7.4
387,O(C)c1ccccc1,2.09,7.4
388,O(C)c1ccccc1/C(=N/O)/NC1CCCCC1,3.6,7.4
389,O(C)c1ccccc1COCCCOc1ccc(N2[C@H](CNCC2=O)COCc2cccnc2)cc1,2.9,7.4
390,O(C)c1ccccc1N1CCN(CC1)c1ccc(Nn2c(ccc2C)C)cc1,3.61,7.4
391,O(C)c1nc2-n3c(ccc3)C(=Nc2cc1)NCCCN1CCN(CC1)CCCNC1=Nc2ccc(OC)nc2-n2c1ccc2,4.73,7.4
392,O(CC(=O)NCc1ccccc1)c1cc(nc2c1cc(OC)cc2)C,3.86,7.4
393,O(CC(CCC)(COC(=O)N)C)C(=O)NC(C)C,2.4,7.4
394,O(CC(N)C)c1c(cccc1C)C,0.47,7.4
395,O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2,1.4,7.4
396,O(CC(O)CNC(C)C)c1c2c(ccc1)cccc2O,1.4,7.4
397,O(CC(O)CNC(C)C)c1c2c(ccc1O)cccc2,1.66,7.4
398,O(CC(O)CNC(C)C)c1ccccc1CC=C,1.0,7.4
399,O(CC(O)CNCCC)c1ccccc1C(=O)CCc1ccccc1,1.81,7.4
400,O(CC)C(=O)NC(=N)c1cc2[nH]c(nc2cc1)Cc1[nH]c2c(n1)cccc2,1.5,7.4
401,O(CC)c1ccccc1C[C@@H](N1CCNCC1)c1ccccc1,1.5,7.4
402,O(CC)c1ccccc1C[C@H](N1CCNCC1)c1ccccc1,1.5,7.4
403,O(CCC)c1ncc(cc1-c1nc(O)c2nn(c(c2n1)CC)C1CN(C1)C(C)C)C(=O)C,2.5,7.4
404,O(CCC1N(CCCC1)C(=O)[C@H](NCC(O)=O)CC1CCCCC1)C1CCN(CC1)C(N)=N,0.2,7.4
405,O(CCC1N(CCCC1)C(=O)[C@H](NCC(O)=O)Cc1ccccc1)C1CCN(CC1)C(N)=N,-1.1,7.4
406,O(CCCC)c1ccc(NC(Nc2ccc(OCCCC)cc2)=N)cc1,3.52,7.4
407,O(CCCC)c1nc2c(cccc2)c(c1)C(=O)NCCN(CC)CC,2.91,7.4
408,O(CCCC)c1ncc(cc1-c1nc(O)c2nn(Cc3nccn3C)c(c2n1)CC)C(=O)C,2.6,7.4
409,O(CCCC)c1ncc(cc1-c1nc(O)c2nn(c(c2n1)CC)C1CN(C1)CC)C(=O)C,2.8,7.4
410,O(CCCCc1ccccc1)c1ccc(cc1)CCNC[C@H](O)c1cc(NC=O)c(O)cc1,2.76,7.4
411,O(CCCON1C(NC(=NC1=N)N)(C)C)c1cc(cc(c1)C)C,3.2,7.4
412,O(CCCON1C(NC(=NC1=N)N)(C)C)c1ccc(cc1CCC)C(=O)C,2.92,7.4
413,O(CCCON1C(NC(=NC1=N)N)(C)C)c1ccccc1C,2.83,7.4
414,O(CCCOc1ccccc1)c1cc(ccc1)CCNC[C@H](O)c1cc(NC=O)c(O)cc1,2.49,7.4
415,O(CCN(C)C)c1ccc(cc1)\C(=C(/CC)\c1ccccc1)\c1ccccc1,4.15,7.4
416,O(CCN(C)c1nnc(Nn2c(ccc2C)C)cc1)C,2.16,7.4
417,O(CCN(CCOC)c1nnc(Nn2c(ccc2C)C)cc1)C,2.06,7.4
418,O(CCNC[C@H](O)COc1c2c3c([nH]c2ccc1)cccc3)c1ccccc1OC,3.53,7.4
419,O(CC[C@H](CC1(CCCC1)C(=O)NC1(Cc2c(C1)cccc2)CO)C(O)=O)C,-0.2,7.4
420,O(CC[C@H]1N(CCCC1)C(=O)[C@H](NCC(O)=O)CC1CCCCC1)c1ccc(cc1)C(N)=N,0.4,7.4
421,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCC(N)(C)C)CC1CCCCC1)Cc1ccccc1,3.8,7.4
422,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCC(O)=O)CC1CCCCC1)Cc1ccccc1,2.8,7.4
423,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCN(C)C)CC1CCCCC1)Cc1ccccc1,2.8,7.4
424,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCN)CC1CCCCC1)Cc1ccccc1,3.3,7.4
425,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCNCCO)CC1CCCCC1)Cc1ccccc1,3.5,7.4
426,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCN)CC1CCCCC1)Cc1ccccc1,3.5,7.4
427,O(COC)C1CCN(CC1)C(=O)[C@@H](N[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@H](NC(OCCN(C)C)=O)C(C)C)CC1CCCCC1)Cc1ccccc1,4.6,7.4
428,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)N(CCCN(C)C)C)CC1CCCCC1)Cc1ccccc1,3.7,7.4
429,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCC(N)(C)C)CC1CCCCC1)Cc1ccccc1,3.5,7.4
430,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCC(O)=O)CC1CCCCC1)Cc1ccccc1,2.8,7.4
431,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCC)CC1CCCCC1)Cc1ccccc1,4.7,7.4
432,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCNC(=O)C)CC1CCCCC1)Cc1ccccc1,4.3,7.4
433,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCNC(=O)N)CC1CCCCC1)Cc1ccccc1,4.2,7.4
434,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCNc1nc([nH]n1)N)CC1CCCCC1)Cc1ccccc1,4.2,7.4
435,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCC\N=C(/NC#N)\N)CC1CCCCC1)Cc1ccccc1,4.5,7.4
436,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCC\N=C(/NC#N)\NC)CC1CCCCC1)Cc1ccccc1,4.4,7.4
437,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCCn1ccnc1)CC1CCCCC1)Cc1ccccc1,4.0,7.4
438,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCN(C)C)CC1CCCCC1)Cc1ccccc1,4.3,7.4
439,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)C[C@@H](C(C)C)C(=O)NCCNc1nc([nH]n1)N)CC1CCCCC1)Cc1ccccc1,4.0,7.4
440,O(COC)C1CCN(CC1)C(=O)[C@@H](O[C@@H](CCCC)C(=O)N[C@H]([C@@H](O)[C@@H](O)CC(C)C)CC1CCCCC1)Cc1ccccc1,4.8,7.4
441,O(C[C@H](O)CNC(C)(C)C)c1ccccc1C1CCCC1,2.06,7.4
442,O(C[C@H](O)CNC(C)C)c1c2c(ccc1)cccc2,1.41,7.4
443,O(C[C@H](O)CNC(C)C)c1c2c3c([nH]c2ccc1)cccc3,1.58,7.4
444,O(C[C@H](O)CNC(C)C)c1ccccc1CC=C,0.86,7.4
445,O(Cc1[nH]c(nc1C(=O)Nc1cc(ccc1)C(O)=O)-c1c(cc(cc1C)C)C)C12CC3CC(C1)CC(C2)C3,3.02,7.4
446,O(Cc1ccccc1)C(=O)NC[C@@H]1C[C@H]2[C@H](N(C1)C)Cc1c3c2cccc3n(c1)C,3.5,7.4
