,smiles,Energy
598,c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52
599,CCCCCCl,-0.1
600,CC(C)COC(=O)C,-2.36
601,CCC(C)(C)C,2.51
602,c1cc(ccc1N)N(=O)=O,-9.82
603,COC(=O)CC#N,-6.72
604,COc1ccc(cc1)N,-7.48
605,CC(C)Cc1ccccc1,0.16
606,c1ccc(cc1)c2c(cc(cc2Cl)Cl)Cl,-2.16
607,CN,-4.55
608,c1ccc(c(c1)O)Cl,-4.55
609,c1ccc2c(c1)C(=O)c3ccc(cc3C2=O)N,-11.53
610,C(=C\Cl)\Cl,-1.17
611,CCCCC(=O)C,-3.28
612,C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73
613,c1ccc(c(c1)O)F,-5.29
614,Cc1c(nc(nc1OC(=O)N(C)C)N(C)C)C,-9.41
615,C=Cc1ccccc1,-1.24
616,CCOP(=O)(OCC)OCC,-7.5
617,C(C(F)(F)F)O,-4.31
618,CCCCOC[C@H](C)O,-5.73
619,CCCO,-4.85
620,Cc1ccccc1C,-0.9
621,CC(C)(C)C,2.51
622,CCCC#C,0.01
623,c1ccc2c(c1)C(=O)NC2=O,-9.61
624,CCCCI,-0.25
625,Cc1ccc(cc1)O,-6.13
626,CC(C)I,-0.46
627,COc1ccccc1O,-5.94
628,C1CC=CC1,0.56
629,C[C@H](C(F)(F)F)O,-4.2
630,CCCN,-4.39
631,c1ccc(c(c1)[N+](=O)[O-])O,-4.58
632,Cc1cccc2c1cccc2,-2.44
633,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl,-2.33
634,CCCCC/C=C/C=O,-3.43
635,CCCCCCC#C,0.71
636,CCOP(=S)(OCC)Oc1cc(nc(n1)C(C)C)C,-6.48
637,CCCCCCCC(=O)OC,-2.04
638,C1CCNC1,-5.48
639,c1cc(ccc1C=O)O,-8.83
640,CCCCCCCCl,0.29
641,C1COCCO1,-5.06
