,smiles,logS
456,CCOC(=O)c1cncn1C(C)c2ccccc2,-4.735
457,Oc1ccc(Cl)c(Cl)c1,-1.25
458,CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.017000000000001
459,c2ccc1ocnc1c2,-1.16
460,CCCCCO,-0.6
461,CCN(CC)c1ccccc1,-3.03
462,Fc1cccc(F)c1,-2.0
463,ClCCC#N ,-0.29
464,CC(C)(C)Cc1ccccc1,-4.15
465,O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,-2.322
466,Clc1ccccc1I,-3.54
467,c2ccc1[nH]nnc1c2,-0.78
468,CNC(=O)Oc1cccc2CC(C)(C)Oc12,-2.8
469,Cc1cccc(C)c1O,-1.29
470,CC(C)C(C)O,-0.18
471,c1ccccc1C(O)c2ccccc2,-2.55
472,CCCCCCCCCC(=O)OC,-4.69
473,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,-4.31
474,CC(C)CBr,-2.43
475,CCI,-1.6
476,CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,-1.95
477,CCCCCCBr,-3.81
478,CCCC(C)C,-3.74
479,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,-7.3210000000000015
480,CCc1cccc(C)c1N(C(C)COC)C(=O)CCl ,-2.73
481,ON=Cc1ccc(o1)N(=O)=O ,-2.19
482,CC(C)C(Nc1ccc(cc1Cl)C(F)(F)F)C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.003
483,Nc1nc[nH]n1,0.522
484,BrC(Br)Br,-1.91
485,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-0.22
486,CCOP(=S)(OCC)SCn1c(=O)oc2cc(Cl)ccc12,-5.233
487,OCc1ccccc1,-0.4
488,O=c2c(C3CCCc4ccccc43)c(O)c1ccccc1o2 ,-2.84
489,Oc1ccc(Br)cc1,-1.09
490,CC(C)Br,-1.59
491,CC(C)CC(C)(C)C,-4.74
492,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-2.89
493,CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O,-3.796
494,CCC,-1.94
495,Nc1cc(nc(N)n1=O)N2CCCCC2 ,-1.989
496,Nc2cccc3nc1ccccc1cc23 ,-4.22
497,c1ccc2cc3c4cccc5cccc(c3cc2c1)c45,-8.49
498,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-5.666
499,C1Cc2cccc3cccc1c23,-4.63
500,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,-6.34
501,Brc1ccc(Br)cc1,-4.07
502,Cn2c(=O)on(c1ccc(Cl)c(Cl)c1)c2=O,-2.82
503,Oc1ccc(cc1)c2ccccc2,-3.48
504,CC1=C(CCCO1)C(=O)Nc2ccccc2 ,-2.56
505,CCOC=C,-0.85
506,CCC#C,-1.24
507,COc1ncnc2nccnc12 ,-1.11
508,CCCCC(C)(O)CC,-1.6
509,Clc1ccc(Cl)cc1,-3.27
510,O=C1N(COC(=O)C)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.47
511,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O,-1.981
512,Cc1c[nH]c2ccccc12 ,-2.42
513,COc2ncc1nccnc1n2,-1.11
514,CNC(=O)Oc1ccccc1C2OCCO2,-1.57
515,C1N(C(=O)NCC(C)C)C(=O)NC1,-2.15
516,CC#N,0.26
517,CCOC(=O)NCCOc2ccc(Oc1ccccc1)cc2,-4.7
518,CC(=O)N(S(=O)c1ccc(N)cc1)c2onc(C)c2C ,-3.59
519,ClCC(Cl)(Cl)Cl,-2.18
520,CCCCO,0.0
521,CC1CCCCC1NC(=O)Nc2ccccc2,-4.11
522,Clc1cc(Cl)cc(Cl)c1,-4.48
523,O=Cc1ccco1,-0.1
524,CC(C)CCO,-0.51
525,O=Cc2ccc1OCOc1c2 ,-1.63
526,CC(=C)C,-2.33
527,O=Cc1ccccc1,-1.19
528,CC(=C)C(=C)C,-2.4
529,CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,-4.71
530,O2c1ccccc1N(C)C(=O)c3cccnc23 ,-3.672
531,C1c2ccccc2c3ccccc13,-5.0
532,CC1CCCCC1,-3.85
533,NC(=N)NS(=O)(=O)c1ccc(N)cc1 ,-1.99
534,COC(=O)c1ccc(O)cc1,-1.827
535,CC1CCCO1,0.11
536,CC3C2CCC1(C)C=CC(=O)C(=C1C2OC3=O)C,-3.09
537,OCC2OC(Oc1ccccc1CO)C(O)C(O)C2O,-0.85
538,CCCI,-2.29
539,CCNc1nc(NC(C)C)nc(SC)n1,-3.04
540,CCCO,0.62
541,CC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,-3.817
542,CCCC(C)O,-0.29
543,OC(C(=O)c1ccccc1)c2ccccc2,-2.85
544,Cc1ccc(O)c(C)c1,-1.19
545,Clc1cccc(c1)N(=O)=O,-2.77
546,Cc2c(N)c(=O)n(c1ccccc1)n2C,-0.624
547,Clc1ccc(c(Cl)c1)c2cc(Cl)ccc2Cl ,-6.57
548,ClC(=C(Cl)C(=C(Cl)Cl)Cl)Cl,-4.92
549,CCNc1nc(NC(C)(C)C)nc(SC)n1,-4.0
550,CCC(C)CCO,-0.71
551,Cc2ncc1nccnc1n2,-0.12
552,CC23Cc1cnoc1C=C2CCC4C3CCC5(C)C4CCC5(O)C#C,-5.5070000000000014
553,CCCCI,-2.96
554,Brc1ccc2ccccc2c1,-4.4
555,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CC(O)C5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,-4.081
556,FC(F)(F)c1ccccc1,-2.51
557,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,-6.144
558,c1ccc2c(c1)sc3ccccc23,-4.38
559,Clc1ccc(c(Cl)c1)c2ccc(Cl)c(Cl)c2Cl ,-7.8
560,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,-8.01
561,CC(=O)CC(c1ccccc1)c3c(O)c2ccccc2oc3=O ,-3.893
562,c1ccccc1C(O)C(O)c2ccccc2,-1.93
563,COC(=O)c1ccccc1C(=O)OC,-1.66
564,CCCCCCCC(=O)OCC,-3.39
565,CCSSCC,-2.42
566,CCOCCOCC,-0.77
567,Clc1cc(Cl)c(Cl)cc1Cl,-5.56
568,Nc1ccc(cc1)c2ccc(N)cc2,-2.7
569,CCCCCC=C,-3.73
570,CCCCc1c(C)nc(NCC)[nH]c1=O,-3.028
571,O=C1NC(=O)NC(=O)C1(CC)C(C)CCC,-2.39
572,Nc1ccccc1Cl,-1.52
573,COc1cccc(Cl)c1,-2.78
574,CCCCN(CC)C(=O)SCCC,-3.53
575,CCCCOC=O,-1.37
576,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,-3.18
577,BrC(Cl)Cl,-1.54
578,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O) ,-3.48
579,c1ccc(cc1)c2ccc(cc2)c3ccccc3,-7.11
580,Oc1ccc(C=O)cc1,-0.96
581,CBr,-0.79
582,Cc1cc(ccc1NS(=O)(=O)C(F)(F)F)S(=O)(=O)c2ccccc2,-3.8
583,CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,-5.839
584,CCc1ccc2ccccc2c1,-4.29
585,Nc1c(C)c[nH]c(=O)n1 ,-1.4580000000000002
586,Clc2c(Cl)c(Cl)c(c1ccccc1)c(Cl)c2Cl ,-7.92
587,c1c(NC(=O)c2ccccc2(I))cccc1,-4.21
588,Cc3cc2nc1c(=O)[nH]c(=O)nc1n(CC(O)C(O)C(O)CO)c2cc3C,-3.685
589,Fc1ccccc1Br,-2.7
590,Oc1ccc(Cl)cc1Cl,-1.55
591,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,-6.291
592,CN2C(=C(O)c1ccccc1S2(=O)=O)C(=O)Nc3ccccn3 ,-4.16
593,O=C1N(COC(=O)CC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-4.907
594,C1CCCC1,-2.64
595,Cc1ccccc1N,-2.21
596,c1(OC)ccc(CC=C)cc1,-2.92
597,CN(C)C(=O)Nc1cccc(OC(=O)NC(C)(C)C)c1 ,-2.93
598,CC(C)C=C,-2.73
599,Oc1ccccn1,1.02
600,CC,-1.36
601,Clc1ccccc1Cl,-3.05
602,Sc2nc1ccccc1s2 ,-3.18
603,Clc1c(Cl)c(Cl)c(c(Cl)c1Cl)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl ,-11.6
604,COc2c1occc1cc3ccc(=O)oc23 ,-3.664
605,CC(=O)N,1.58
606,Cc1cccc2ccccc12,-3.7
607,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12 ,-3.57
608,CC(O)C(C)(C)C,-0.62
609,CCCC(=O)OCC,-1.36
610,CC2=CC(=O)c1ccccc1C2=O ,-3.03
611,c1ccc2c(c1)ccc3ccccc32,-5.26
612,Cc1ccnc(C)c1,0.38
613,CCCCCCCCCO,-3.01
614,BrCBr,-1.17
615,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,-3.59
616,Cc1ccc2cc(C)ccc2c1,-4.89
617,CCSC(=O)N(CC(C)C)CC(C)C,-3.68
618,O=N(=O)OCC(CON(=O)=O)ON(=O)=O ,-2.22
619,Nc1cccc(c1)N(=O)=O,-2.19
620,CCCCCl,-2.03
621,ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl ,-4.19
622,Cn2cc(c1ccccc1)c(=O)c(c2)c3cccc(c3)C(F)(F)F,-4.445
623,Nc3cc2c1ccccc1ccc2c4ccccc34 ,-6.2
624,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1=O,-3.955
625,CCN2c1ccccc1N(C)C(=S)c3cccnc23 ,-4.706
626,CC1CO1,-0.59
627,O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O,-3.796
628,CCNC(=S)NCC,-1.46
629,Oc1cc(Cl)cc(Cl)c1Cl,-2.67
630,CCCCC(=O)OC,-1.34
631,Nc1ccccc1,-0.41
632,Cc1cccc2c(C)cccc12,-4.6789999999999985
633,NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2Cl ,-2.63
634,C1=Cc2cccc3cccc1c23,-3.96
635,CCCCCOC(=O)CC,-1.28
636,CCNc1nc(NC(C)C)nc(OC)n1,-2.084
637,c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45,-8.699
638,CCBr,-1.09
639,CCC#CCC,-1.99
640,CC1OC(CC(O)C1O)OC2C(O)CC(OC2C)OC8C(O)CC(OC7CCC3(C)C(CCC4C3CCC5(C)C(CCC45O)C6=CC(=O)OC6)C7)OC8C ,-5.292999999999998
641,CCC(=C)C,-2.73
642,Oc1cccc2cccnc12 ,-2.42
643,C1CCc2ccccc2C1,-4.37
644,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4 ,-2.9
645,Brc1cc(Br)cc(Br)c1,-5.6
646,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,-5.72
647,Cc1cc(=O)[nH]c(=S)[nH]1,-2.436
648,COc1cc(CC=C)ccc1O,-1.56
649,O=C1NC(=O)NC(=O)C1(C(C)C)CC=C,-1.7080000000000002
650,c1cc2ccc3cccc4ccc(c1)c2c34,-6.176
651,CCOC(C)OCC,-0.43
652,CC1(C)CON(Cc2ccccc2Cl)C1=O,-2.338
653,CCCCOCCO,-0.42
654,Clc1c(Cl)c(Cl)c(N(=O)=O)c(Cl)c1Cl,-5.82
655,CC12CCC(O)CC1CCC3C2CCC4(C)C3CCC4=O,-4.402
656,FC(F)(F)c1cccc(c1)N2CC(CCl)C(Cl)C2=O,-4.047
657,c1ccc2ncccc2c1,-1.3
658,COC(=O)c1cc(O)c(O)c(O)c1 ,-1.24
659,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F ,-1.8
660,Clc2ccc1oc(=O)[nH]c1c2,-2.8310000000000004
661,Clc1ccc(c(Cl)c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-7.92
662,O=C1NC(=O)C(=O)C(=O)N1 ,-1.25
663,ClCCCCl,-1.62
664,Fc1cccc(Br)c1,-2.67
665,Clc1ccc(Br)cc1,-3.63
666,CC(C)C(C)C,-3.65
667,CCC=C,-1.94
668,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,-7.68
669,Nc1cc[nH]c(=O)n1 ,-1.155
670,FC(F)(Cl)C(F)(Cl)Cl,-3.04
671,CCC#N,0.28
672,ClC(Cl)C(c1ccc(Cl)cc1)c2ccccc2Cl ,-6.51
673,COc1ccccc1N(=O)=O,-1.96
674,CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,-4.12
675,CC12CC2(C)C(=O)N(C1=O)c3cc(Cl)cc(Cl)c3,-4.8
676,c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56,-9.018
677,CCC(C)c1cc(cc(N(=O)=O)c1O)N(=O)=O ,-3.38
678,c1c(OC)c(OC)C2C(=O)OCC2c1,-1.899
679,OCC(O)CO,1.12
680,COc1ccccc1O ,-1.96
681,CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl ,-5.67
682,Cc1c2ccccc2cc3ccccc13,-5.89
683,Cc1cc(=O)n(c2ccccc2)n1C,0.715
684,CCCCOC,-0.99
685,Cc2cnc1cncnc1n2,-0.8540000000000001
686,CCNc1nc(Cl)nc(NCC)n1 ,-4.55
687,CN(C)C(=O)C,1.11
688,CSc1nc(nc(n1)N(C)C)N(C)C,-2.676
689,C=C,-0.4
690,CC(C)(C)CCO,-0.5
691,O=C1NC(=O)NC(=O)C1(CC)CC=C,-1.614
692,Oc1ccc(Cl)c(Cl)c1Cl,-2.67
693,COc1ccccc1,-1.85
694,c1ccc(Cl)cc1C(c2ccc(Cl)cc2)(O)C(=O)OC(C)C,-4.53
695,CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,-3.85
696,COc2ccc(Oc1ccc(NC(=O)N(C)C)cc1)cc2,-4.16
697,CCc1ccc(C)cc1,-3.11
698,CC(C)SC(C)C,-2.24
699,O=N(=O)c1cccc(c1)N(=O)=O,-2.29
700,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-5.54
701,CCC1(C(C)C)C(=O)NC(=O)NC1=O ,-2.21
702,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)CCC1(C)C2C(=O)CC34C ,-4.21
703,Cc1ncc(N(=O)=O)n1CCO,-1.22
704,Nc1ccc(Cl)cc1,-1.66
705,CCCC(C)(C)CO,-1.52
706,c1ccoc1,-0.82
707,COCCCNc1nc(NC(C)C)nc(SC)n1,-2.928
708,CN(C)C(=O)NC1CC2CC1C3CCCC23,-3.1710000000000003
709,CC(C)(C)c1ccccc1,-3.66
710,CC(=O)CCC1C(=O)N(N(C1=O)c2ccccc2)c3ccccc3,-3.27
711,CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C ,-4.37
712,CCCOC,-0.39
713,CC(C)OC(=O)C,-0.55
714,Brc1ccccc1,-2.55
715,CCOC(=O)c1ccc(O)cc1,-2.35
716,O=C1N(COC(=O)CCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.0710000000000015
717,CCC(=O)OC3CCC4C2CCC1=CC(=O)CCC1(C)C2CCC34C ,-5.37
718,c1cc2ccc3ccc4ccc5ccc6ccc1c7c2c3c4c5c67,-9.332
719,O=c1[nH]cnc2[nH]ncc12 ,-2.266
720,ClC=C,-1.75
721,CN(C)C(=O)C(c1ccccc1)c2ccccc2 ,-2.98
722,BrC(Br)(Br)Br,-3.14
723,CCN2c1cc(N(C)C)cc(C)c1NC(=O)c3cccnc23 ,-4.871
724,O=C1NC(=O)c2ccccc12 ,-2.61
725,OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,-4.38
726,COC(=O)c1ccccc1,-1.85
727,Cn1ccc(=O)[nH]c1=O,-0.807
728,CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3 ,-3.73
729,Clc1ccc(Cl)c(c1)c2cccc(Cl)c2Cl ,-6.47
730,CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,-3.29
731,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-3.8
732,C1CC=CC1,-2.1
733,C1(=O)NC(=O)NC(=O)C1(O)C2(O)C(=O)NC(=O)NC2(=O),-1.99
734,CCCCCCCCC,-5.88
735,Oc1ccccc1Cl,-1.06
736,c1cccc2c3c(C)cc4ccccc4c3ccc12,-6.59
737,CCOc1ccccc1,-2.33
738,CCOC(=O)C=Cc1ccccc1,-3.0
739,Cc1[nH]c(=O)n(c(=O)c1Cl)C(C)(C)C,-2.484
740,Clc1ccccc1C2=NCC(=O)Nc3ccc(cc23)N(=O)=O,-3.499
741,Cc1ccc(cc1)S(=O)(=O)N,-1.74
742,CC(OC(=O)Nc1cccc(Cl)c1)C#C,-2.617
743,CCCCCC(C)C,-5.08
744,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2,-8.176
745,CCCC1C(=O)N3N(C1=O)c2cc(C)ccc2N=C3N(C)C ,-3.5380000000000003
746,CN2C(=O)CN=C(c1ccccc1)c3cc(Cl)ccc23,-3.754
747,CCC(O)C(C)C,-0.7
748,CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O ,-2.3
749,CC1(C)C2CCC1(C)C(O)C2,-2.32
750,CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1O,-4.02
751,CCCCCCC,-4.53
752,Oc1cccc2ccccc12,-2.22
753,C/C1CCCCC1\C,-4.3
754,COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O ,-3.638
755,C1Cc2c3c1cccc3cc4c2ccc5ccccc54,-7.85
756,CC(=O)C3(C)CCC4C2C=C(C)C1=CC(=O)CCC1(C)C2CCC34C,-5.27
757,CCCCCC(=O)C,-1.45
758,COP(=O)(NC(C)=O)SC ,0.54
759,CCCCSP(=O)(SCCCC)SCCCC,-5.14
760,c1cC2C(=O)NC(=O)C2cc1,-2.932
761,NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl ,-2.68
762,CC=C(C)C,-2.56
763,Cc1ccc(C)c(C)c1,-3.31
764,Oc1cc(Cl)c(Cl)cc1Cl,-2.21
765,c1ccc2c(c1)cnc3ccccc23 ,-2.78
766,CCCC(C)(O)CC,-0.98
767,CCCCCCCC,-5.24
768,c1ccc2cc3ccccc3cc2c1,-6.35
769,NNc1ccccc1,0.07
770,CCC=O,0.58
771,C1CCCCCCC1,-4.15
772,O=C1NC(=O)NC(=O)C1(CC=C)CC=C,-2.077
773,ClC(Cl)Cl,-1.17
774,Sc1nccc(=O)[nH]1 ,-2.273
775,Clc1ccc(CN(C2CCCC2)C(=O)Nc3ccccc3)cc1,-5.915
776,CC1=CCCCC1,-3.27
777,CCCCC(CC)C=O,-2.13
778,COc2c1occc1c(OC)c3c(=O)cc(C)oc23 ,-3.0210000000000004
779,O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,-2.658
780,c1ccc2c3c(ccc2c1)c4cccc5cccc3c45,-8.0
781,CCC(CC)C=O,-1.52
782,CCCOCCC,-1.62
783,CCCCCCCCCCCCCCO,-5.84
784,Oc1c(Cl)ccc(Cl)c1Cl,-2.64
785,NC(=O)N,0.96
786,CCCC#C,-1.64
787,Brc1cccc(Br)c1,-3.54
788,CCCCCCCCCCCCCCCCCCO,-8.4
789,CC(=O)Nc1ccccc1,-1.33
790,c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21,-2.7
791,c1nccc(C(=O)NN)c1,0.009000000000000001
792,OC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl ,-5.46
793,CC(C)CCOC=O,-1.52
794,CC(=O)c1ccccc1,-1.28
795,c2ccc1nc(ccc1c2)c4ccc3ccccc3n4 ,-5.4
796,CCOP(=O)(OCC)OCC,0.43
797,CC2(C)C1CCC(C)(C1)C2=O,-1.85
798,COc2cnc1cncnc1n2,-0.91
799,ClC2=C(Cl)C3(Cl)C1C=CCC1C2(Cl)C3(Cl)Cl ,-5.64
800,CC(C)N(=O)=O,-0.62
801,c1ccc2c(c1)[nH]c3ccccc32,-5.27
802,OCC(O)C(O)CO,0.7
803,CCCOC(=O)c1ccc(N)cc1,-2.452
804,CNC(=O)C=C(C)OP(=O)(OC)OC,0.6509999999999999
805,O=C1CCC(=O)N1,0.3
806,CCC(C)C(C)C,-4.28
807,CCCCc1c(C)nc(NCC)nc1OS(=O)(=O)N(C)C ,-4.16
808,CCN2c1ncccc1N(C)C(=S)c3cccnc23 ,-4.634
809,O2c1ccccc1N(CC)C(=O)c3ccccc23 ,-3.68
810,C1CCOCC1,-0.03
811,CCCCCC#C,-3.01
812,c1cc2ccc(OC)c(CC=C(C)(C))c2oc1=O ,-4.314
813,c1cc(C)cc2c1c3cc4cccc5CCc(c45)c3cc2,-7.92
814,CCOC(=O)c1ccccc1,-2.32
815,ClCC(C)C,-2.0
816,CC34CCC1C(CCc2cc(O)ccc12)C3CCC4(O)C#C ,-4.3
817,CCCCCCCCCCCC(=O)OC,-4.69
818,CCCSCCC,-2.58
819,c1ccc2cc3cc4ccccc4cc3cc2c1,-8.6
820,CCCCCBr,-3.08
821,CCCC/C=C/C,-3.82
822,Cc1ncc(N(=O)=O)n1CCO ,-1.26
823,CCCCCC1CCCC1,-6.08
824,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-7.42
825,O=C1NC(=O)NC(=O)C1(CC)C(C)C,-2.148
826,CC(Cl)(Cl)Cl,-2.0
827,CON(C)C(=O)Nc1ccc(Cl)cc1,-2.57
828,O=C2NC(=O)C1(CCCCC1)C(=O)N2,-3.06
829,CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1 ,-0.85
830,Cc1ccc(Br)cc1,-3.19
831,CCOCC,-0.09
832,CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,-4.376
833,CCCCN(CC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,-5.53
834,Cc1cc(C)c(O)c(C)c1,-2.05
835,c1ccccc1,-1.64
836,Clc1ccc(I)cc1,-4.03
837,COc1ccc(NC(=O)N(C)C)cc1Cl,-2.564
838,CC(C)N(C(=O)CCl)c1ccccc1 ,-2.48
839,C=Cc1ccccc1,-2.82
840,COCOC,0.48
841,Cc1ccccc1C,-2.8
842,CCC(C)O,0.47
843,Oc1ccc(O)cc1,-0.17
844,CC34CCC1C(CCc2cc(O)ccc12)C3CC(O)C4O ,-4.955
845,C1c2ccccc2c3cc4ccccc4cc13,-8.04
846,O=C1CNC(=O)N1 ,-0.4
847,c1(O)cc(O)ccc1CCCCCC,-2.59
848,C=CCS(=O)SCC=C,-0.83
849,CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,-5.3820000000000014
850,Cc1c(C)c2c3ccccc3ccc2c4ccccc14,-7.01
851,CCCCC(=O)OC3(C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C)C(=O)CO,-4.71
852,O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2 ,-3.93
853,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,-3.1
854,Clc1cccc(Cl)c1,-3.04
855,Clc1ccc(cc1)C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,-7.15
856,CC(C)COC=O,-1.01
857,c1ccccc1SC,-2.39
858,CCN2c1nc(C)cc(C(F)(F)F)c1NC(=O)c3cccnc23 ,-4.207
859,CCCCCC,-3.84
860,COC(=O)c1cccnc1 ,-0.46
861,NS(=O)(=O)c3cc2c(NC(Cc1ccccc1)NS2(=O)=O)cc3C(F)(F)F,-3.59
862,Clc1ccc(cc1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl ,-7.82
863,CC1(OC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2)C=C,-4.925
864,CCNc1nc(Cl)nc(NC(C)(C)C#N)n1,-3.15
865,c1ccc2c(c1)c3ccccc3c4ccccc24,-6.726
866,CC=C(C(=CC)c1ccc(O)cc1)c2ccc(O)cc2,-4.95
867,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,-6.96
868,CCc1ccccn1,0.51
869,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br,-2.28
870,c1ccc(cc1)c2ccccc2,-4.345
871,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cc(Cl)cc2Cl ,-8.71
872,CN(C)c1nc(nc(n1)N(C)C)N(C)C,-3.364
873,CC(C)CC(C)(C)O,-0.92
874,O=C2NC(=O)C1(CCCCCC1)C(=O)N2 ,-3.168
875,OCC1OC(O)(CO)C(O)C1O,0.64
876,Cc1cc(C)cc(O)c1,-1.4
877,ClCC#CCOC(=O)Nc1cccc(Cl)c1,-4.37
878,CC(=O)Nc1ccc(Cl)cc1,-2.843
879,Clc1ccc(Cl)c(c1)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl,-8.94
880,CCC(C)(C)C,-3.55
881,CNc1ccccc1,-1.28
882,C=CCC=C,-2.09
883,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-4.88
884,Cc1cc(cc(N(=O)=O)c1O)N(=O)=O,-1.456
885,OC3N=C(c1ccccc1Cl)c2cc(Cl)ccc2NC3=O,-3.604
886,Oc1cccc(Cl)c1,-0.7
887,Clc1cccc(Br)c1,-3.21
888,NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl ,-3.05
889,O=C1NC(=O)NC(=O)C1(C)CC,-1.228
890,OCCOc1ccccc1,-0.7
891,C(c1ccccc1)c2ccccc2,-4.08
892,CCCCCC(O)CC,-1.98
893,CCN(Cc1c(F)cccc1Cl)c2c(cc(cc2N(=O)=O)C(F)(F)F)N(=O)=O,-6.78
894,CC(C)Nc1nc(Cl)nc(NC(C)C)n1,-4.43
895,CCCC(C)CO,-1.11
896,CCCCC(C)(C)O,-1.08
897,CCc1ccccc1,-2.77
898,O=C1NC(=O)NC(=O)C1(CC)CC=C(C)C,-2.253
899,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-6.317
900,CCC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O ,-2.647
901,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,-6.025
902,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,-5.19
903,CCOC(=O)CC,-0.66
904,CSc1nc(NC(C)C)nc(NC(C)C)n1,-4.1
905,CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,-3.9
906,Cc1cc2ccccc2cc1C,-4.72
907,Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,-6.25
