logP,Temperature,smiles
1.54,,COc1ccc(OC(C)=O)cc1
2.88,,O=C(O)c1ccc2cccccc1-2
1.7,,CC(C(O)c1ccccc1)N(C)C
2.45,,COC(=O)c1cc2ccccc2[nH]1
2.86,,CCC(=Cc1ccccc1)[N+](=O)[O-]
0.82,,COC(=O)CNC(=O)c1ccccc1
3.83,,CCOC(=O)c1ccc2cccccc1-2
1.62,,CCC1=NS(=O)(=O)c2cc(Cl)ccc2N1
3.2,,CCNC1C2CCC(C2)C1c1ccccc1
4.26,,N#Cc1c2ccccc2cc2ccccc12
3.69,,S=C(NC1CCCCC1)NC1CCCCC1
3.06,,Nc1ccc2c(c1)Cc1cc([N+](=O)[O-])ccc1-2
1.57,,c1ccc(CN=c2[nH]cnc3[nH]cnc23)cc1
2.09,,C=C(Br)CC1(C(C)CCC)C(=O)NC(=O)NC1=O
0.65,,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCC2)cc1
0.7,,COc1cc(=NS(=O)(=O)c2ccc(N)cc2)[nH]cn1
5.9,,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C
0.84,,O=C(NN1CCCCC1)NS(=O)(=O)c1ccc(Cl)cc1
4.94,,CNCCCN1c2ccccc2Sc2ccc(Cl)cc21
0.92,,N=c1[nH]c(=N)c2nc(-c3ccc(O)cc3)c(=N)[nH]c2[nH]1
1.64,,O=C(NN1CCCCCC1)NS(=O)(=O)c1ccc(Cl)cc1
5.73,,CCCCC(CC)COP(=O)(Oc1ccccc1)Oc1ccccc1
1.95,,Cc1ccccc1O
3.16,,Cc1ccccc1C
5.11,,Cc1ccccc1OP(=O)(Oc1ccccc1C)Oc1ccccc1C
2.86,,Cc1c(O)ccc([N+](=O)[O-])c1[N+](=O)[O-]
7.1,,Clc1ccc(-c2ccc(Cl)cc2Cl)c(Cl)c1
1.63,,CCC1OC(=O)CC(O)C(C)C(OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)C(CC=O)CC(C)C(=O)C=CC(C)=CC1COC1OC(C)C(O)C(OC)C1OC
-1.71,,CSCS(=O)CC(CO)NC(=O)C=Cc1c(C)[nH]c(=O)[nH]c1=O
2.8,,CC1(C(=O)O)CCC2(C)CCC3(C)C(=C2C1)CC(=O)C1C2(C)CCC(OC4OC(C(=O)O)C(O)C(O)C4OC4OC(C(=O)O)C(O)C(O)C4O)C(C)(C)C2CCC13C
5.41,,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
2.51,,O=C1C=NC(c2ccccc2C(F)(F)F)c2cc([N+](=O)[O-])ccc2N1
2.01,,CN(C)c1cccc2c(S(N)(=O)=O)cccc12
1.95,,CCCCC1CO1
1.6,,N#Cc1ccc2ccccc2n1
2.11,,C(=Cc1ccccn1)c1ccccn1
-0.6,,O=C(CCl)N1CCOCC1
1.49,,CN(C)CCCCc1cccnc1
1.22,,CC(=O)c1ccc(C#N)cc1
1.34,,Cc1ccc(S(=O)(=O)NC(=O)NN2CCCCC2)cc1
0.11,,O=c1[nH][nH]c(=O)c2ccccc12
1.03,,CC(C)OP(C)(=O)OC(C)C
2.23,,Clc1cnc2ccccc2n1
8.06,,CCCCCc1cc(OC)c2c(c1)OC(C)(C)C1CC=C(C)CC21
0.15,,NC(=O)c1ccccn1
-0.28,,NC(=O)c1ccncc1
1.34,,Nc1ccccc1-c1ccccc1N
0.89,,Cc1noc(-c2ccccn2)n1
0.32,,CC1CN(N=O)CC(C)O1
1.48,,CCOC(=O)C(=O)Nc1ccccc1
0.08,,OC1CCCCC1O
4.76,,CCCC[Sn](Cl)(CCCC)CCCC
5.07,,CCCC[Sn](Br)(CCCC)CCCC
-0.75,,OCC1OC(Oc2ccccc2)C(O)C(O)C1O
-0.28,,C1OC1C1CO1
0.66,,COc1cccc(OC)c1C(=O)O
1.14,,CCNC(=O)NS(=O)(=O)c1ccc(C)cc1
2.5,,CC(=O)Nc1cc(C)c(C)c(C)c1
-0.15,,CN(C)C#N
1.24,,CC(=O)c1ccsc1
3.04,,OCc1c2ccccc2cc2ccccc12
3.61,,O=C1c2ccccc2C(=O)C1c1cccc(Cl)c1
3.6,,COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1
0.7,,CN(N)C(=O)c1ccccc1
2.9,,O=C1C=NC(c2ccc(F)cc2)c2cc(Cl)ccc2N1
1.69,,O=[N+]([O-])c1ccccc1F
3.57,,CCCCOc1ccc(C(=O)O)cc1
8.46,,c1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1
1.49,,O=C(O)CCCC(=O)c1ccccc1
3.17,,O=C1CCCCC1=C1CCCCC1
2.73,,O=C(Cc1ccccc1)Nc1ccccc1[N+](=O)[O-]
4.66,,S=C=Nc1ccc(-c2ccccc2)cc1
2.84,,O=S(=O)(Nc1ccc(Cl)cc1)C(F)F
1.17,,Fc1cccc(F)n1
1.23,,COCc1ccc(C#N)cc1
3.13,,Cc1ccc(C(O)c2ccccc2)cc1
1.42,,CC(O)c1ccccc1
-2.06,,C[Pb](C)(C)Cl
1.82,,CC(=O)Oc1cccc([N+](=O)[O-])c1
0.25,,[O-][n+]1ccc2ccccc2c1
1.9,,N=c1[nH]ccc2ccccc12
-0.29,,NS(=O)(=O)c1cc2c(cc1F)N=CNS2(=O)=O
3.3,,CCCCOC(=O)Nc1ccccc1
0.37,,CC1(C)N=C(N)N=C(N)N1c1ccc(F)cc1
0.49,,NS(=O)(=O)c1cc2c(cc1Cl)NC(C(F)(F)F)NS2(=O)=O
1.59,,CCc1ccc[nH]1
3.15,,O=C(O)C=CC=Cc1ccccc1
3.35,,CC(C)Cc1ccc(CC(=O)O)cc1
2.25,,CCOc1cccc2cccnc12
0.62,,Cc1cc(C)ncn1
2.08,,CC1(C)Cc2cccc(O)c2O1
2.32,,CNC(=O)Oc1cccc2c1OC(C)(C)C2
0.2,,CC(=O)c1ccc(S(N)(=O)=O)cc1
3.05,,CC(C)=NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
2.02,,COc1ccc(O)c([N+](=O)[O-])c1
1.43,,CCOC(=O)c1ccncc1
2.78,,Cc1cc(Cl)ccc1O
0.54,,O=[PH](=O)(O)c1ccccc1
3.42,,Cc1ccccc1-c1nc2cc([N+](=O)[O-])ccc2[nH]1
1.27,,NC(=O)NN=Cc1ccccc1
2.4,,C=CC=CC
1.29,,CON(C)C(=O)Nc1ccccc1
-0.84,,NC(=O)c1cccc(S(N)(=O)=O)c1
0.06,,NS(=O)(=O)c1ccc(O)cc1
5.34,,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
2.4,,CC12CCC(=O)C=C1CCC1C3CCC4(CCC(=O)O4)C3(C)CC(O)C12F
0.49,,CCOC(=O)CN1C(=O)C=CC1=O
2.21,,OCc1ccc2ccccc2c1
4.05,,COP(=S)(OC)Oc1ccc([N+](=O)[O-])c(C(C)C)c1
0.9,,O=[N+]([O-])c1ccc2c(c1)c([N+](=O)[O-])cc[n+]2[O-]
-1.5,,CN(C)NC(=O)CCC(=O)O
1.02,,Cc1ccc(=N)[nH]c1
4.31,,Nc1ccc2ccc3cccc4ccc1c2c34
2.78,,CC(=O)Oc1ccccc1C(C)C
-0.77,,CN=C(N)NC#N
2.69,,CCN=c1[nH]c(OC)nc(=NC(C)C)[nH]1
2.99,,COc1nc(=NC(C)C)[nH]c(=NC(C)C)[nH]1
2.22,,CC(=O)C=Cc1ccc(F)cc1
3.6,,CC1(NC(=O)Nc2ccccc2)CCCCC1
2.7,,CCOC(=O)CC(C)n1nc2ccccc2n1
0.36,,[O-][n+]1cccc2ccccc21
1.12,,O=S1(=O)Nc2ccccc2N1
0.18,,N#CCCCl
1.19,,N=c1[nH]nc(CCc2ccccc2)o1
0.84,,Cc1cccc(C#N)n1
0.95,,Cn1c(=N)[nH]c2ccccc21
2.41,,O=C1C=NC(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1
2.06,,CN1C(=O)CN=C(c2ccccc2F)c2cc([N+](=O)[O-])ccc21
1.76,25.0,C=CCOP(=O)(OCC=C)OCC=C
1.86,,NC(=S)NN=Cc1ccccc1
1.34,,COc1ccccn1
-0.35,,Cc1cccnn1
0.24,,N#Cc1ccncc1C#N
0.94,,COC(C)(C)C
4.34,,S=C=Nc1ccc2ccccc2c1
3.65,,CCCCc1ccc(O)cc1
1.76,,CC(=O)Nc1ccc(C)c(C)c1C
2.12,,O=C(O)c1ccc(CCl)cc1
1.78,,Cc1cccc(OCC(=O)O)c1
2.69,,CC(C)c1ccc(OCC(=O)O)cc1
2.53,,COC(=O)c1cc2ccccc2o1
-0.57,,CNC(=O)ON=CC(C)(C)S(C)(=O)=O
3.3,,O=C(CCCN1CCN(c2ccccn2)CC1)c1ccc(F)cc1
4.29,,CN(C)CCC=C1c2ccccc2COc2ccccc21
0.65,,N=C(N)c1ccccc1
1.61,,NC(=O)c1cc2ccccc2[nH]1
-0.17,,Cn1ccnc1[N+](=O)[O-]
1.1,,CC12CCC(O)CC1CCC1C2CC(O)C2(C)C(c3coc(O)c3)CCC12O
1.18,,NNC(=O)c1cccc(Cl)c1
1.26,,CCC1OC(=O)C(C)C(OC2CC(C)(O)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
2.73,,O=c1ssc2ccccc12
2.58,,O=S(=O)(Nc1ccccc1)c1ccccc1
4.56,,CCC1CCCCC1
0.96,,C=CC(=O)OCCOCCOCCOC(=O)C=C
1.91,,c1ccc(-c2c[nH]nn2)cc1
1.73,,CC1(C)OC(=O)c2ccccc21
3.43,,N#Cc1cc(I)c(O)c(I)c1
5.4,,CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br
0.57,,Cc1cc(=O)n2ccccc2n1
2.92,,COc1ccccc1Oc1ccccc1
1.25,,CCN(CC)C(=O)c1ccccc1
4.35,,O=C(Nc1ccccc1Cl)c1ccccc1O
2.09,,O=c1c(Cl)c(Cl)cnn1-c1ccccc1
1.14,,Nc1cnn(-c2ccccc2)c(=O)c1Cl
1.19,,CNc1cnn(-c2ccccc2)c(=O)c1Cl
0.77,,CCC(=O)c1ccncc1
1.06,,O=C(O)c1nc(Cl)ccc1Cl
0.46,,C1=CCOC1
-0.01,,CNS(=O)(=O)c1ccc(N)cc1
0.67,,CN(C)S(=O)(=O)c1ccc(N)cc1
5.9,,ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl
0.89,,COc1ccc(Cl)nn1
0.36,,Clc1ncccn1
1.93,,c1ccc(-c2ncncn2)cc1
7.02,,S=C=NC(c1ccccc1)(c1ccccc1)c1ccccc1
4.97,,Cc1cccc2c1Cc1ccccc1-2
4.32,,CCCCCCCCC(=O)OC
1.38,,COC(=O)CCCCCC(=O)OC
2.62,,CC(=O)Nc1ccc(OC(F)(F)F)cc1
4.8,,CC(C)c1ccc2c(c1)CCC1C(C)(C(=O)O)CCCC21C
-0.21,,NC(=O)c1cccc(C(N)=O)c1
6.8,,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2
2.94,,C=CCOc1ccccc1
2.78,,Ic1nc(I)c(I)[nH]1
2.3,,CON(C)C(=O)Nc1ccc(Cl)cc1
0.68,,CCOC(=O)c1cc(=O)[nH]c(=O)[nH]1
2.28,,CC1(C)SC2C(NC(=O)CCOc3ccccc3)C(=O)N2C1C(=O)O
1.73,,O=C(Nc1ccccc1)c1cccnc1
4.43,,CCc1cc(C)ccc1C
3.38,,O=C(Oc1ccc(Cl)cc1)N1CCCC1
0.63,,O=C(O)C1CC1
3.88,,CC[Pb](C)(C)C
4.04,,CC[Pb](C)(C)CC
2.66,,CCCCCCC1Nc2cc(C(F)(F)F)c(S(N)(=O)=O)cc2S(=O)(=O)N1
1.62,,CC(CC(=O)c1ccccc1)C(=O)O
1.45,,CSc1cccc(N)c1
1.94,,Cc1nc2cc([N+](=O)[O-])ccc2[nH]1
0.23,,OC1CCCCC1O
2.53,,CCc1ccccc1OCC(=O)O
2.64,,O=C(O)Cc1ccc(I)cc1
1.5,,COc1cccc(CC(=O)O)c1
1.48,,O=C(O)COc1ccc([N+](=O)[O-])cc1
2.22,,O=C(O)COc1cccc(Br)c1
0.64,,C=CCNC(=O)NCC=C
0.87,,COc1ccc2c(c1)[nH]c(=N)n2C
2.74,,OCc1ccc(Cl)c(Cl)c1
0.45,,CC(C)O[PH](=O)OC(C)C
2.05,,O=C1C=NC(c2ccccn2)c2cc(Br)ccc2N1
3.45,,CC(C)c1ccc([N+](=O)[O-])cc1
-0.35,,O=c1[nH]cc(Cl)c(=O)[nH]1
2.42,,O=C(O)CCCc1ccccc1
3.39,,O=C(NC(=O)c1ccccc1)Nc1ccccc1
-0.22,,Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)NCN2
0.11,,NS(=O)(=O)c1cc2c(cc1Cl)NC(CCl)NS2(=O)=O
0.93,,NS(=O)(=O)c1cc2c(cc1Cl)NC(Cc1ccccc1)NS2(=O)=O
0.3,,CCC1Nc2cc(Cl)c(S(N)(=O)=O)cc2S(=O)(=O)N1
5.45,,COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
4.67,,Clc1cccc2c(Cl)cccc12
4.8,,Clc1ccc(Cl)c2ccccc12
2.77,,c1ccc(-c2nccs2)cc1
0.81,,CC1(O)OC(=O)c2ccccc21
2.2,,CC(=O)Oc1ccccc1Br
6.13,,CCCCCCCCOP(C)(=O)OCCCCCCCC
4.64,,O=[N+]([O-])c1ccc(Oc2ccc(Cl)cc2Cl)cc1
4.97,,O=[N+]([O-])c1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1
5.86,,O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2
1.01,,c1ccc(NC2=NCCN2)cc1
4.28,,COC(=O)c1c(Cl)c(Cl)c(C(=O)OC)c(Cl)c1Cl
5.29,,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
1.26,,O=COc1ccccc1
2.18,,CNC1(c2ccccc2Cl)CCCCC1=O
1.75,,N#CCCCCCCCCC#N
2.1,,CCOC(=O)C=Cc1ccc([N+](=O)[O-])o1
0.96,,O=CC=Cc1ccc([N+](=O)[O-])o1
1.65,,COC(=O)C=Cc1ccc([N+](=O)[O-])o1
1.83,,COC(=O)c1cccc(C(=O)O)c1
1.48,,N#Cc1cccc(C(=O)O)c1
1.45,,O=C(O)Cc1cccc([N+](=O)[O-])c1
1.23,,COc1ccc(OCC(=O)O)cc1
-0.05,,Nc1cccc(CO)c1
1.98,,Cc1ccccc1OCC(=O)O
2.25,,CCc1cccc(OCC(=O)O)c1
2.59,,CC(C)c1cccc(OCC(=O)O)c1
3.18,,CCCCc1cccc(OCC(=O)O)c1
2.96,,CC(C)(C)c1cccc(OCC(=O)O)c1
3.79,,O=C(O)COc1ccc(C2CCCCC2)cc1
3.18,,O=C(O)COc1cccc(-c2ccccc2)c1
2.33,,O=C(O)COc1ccc2c(c1)CCC2
2.67,,O=C(O)COc1ccc2c(c1)CCCC2
1.11,,O=C(O)COc1cccc(C(=O)O)c1
1.25,,CC(=O)c1ccccc1OCC(=O)O
2.09,,O=C(O)Cc1cccc(Cl)c1
2.12,,O=C(O)Cc1ccc(Cl)cc1
2.37,,O=C(O)Cc1cccc(Br)c1
2.31,,O=C(O)Cc1ccc(Br)cc1
2.62,,O=C(O)Cc1cccc(I)c1
1.18,,N#Cc1cccc(CC(=O)O)c1
1.9,,CSc1cccc(OCC(=O)O)c1
0.98,,CC(=O)c1cccc(OCC(=O)O)c1
0.87,,CC(=O)c1ccc(OCC(=O)O)cc1
0.93,,N#Cc1ccc(OCC(=O)O)cc1
0.76,,O=C(O)COc1cccc(O)c1
0.65,,O=C(O)COc1ccc(O)cc1
0.98,,COc1ccccc1OCC(=O)O
1.13,,O=C(O)COc1ccccc1[N+](=O)[O-]
1.37,,O=C(O)COc1cccc([N+](=O)[O-])c1
1.99,,O=C(O)COc1cccc(NC(=O)c2ccccc2)c1
2.45,,O=C(O)COc1ccc(Br)cc1
2.33,,O=C(O)COc1ccccc1I
2.44,,O=C(O)COc1cccc(I)c1
2.69,,O=C(O)COc1ccc(I)cc1
2.04,,O=C(O)COc1ccccc1Br
0.95,,N#Cc1cccc(OCC(=O)O)c1
2.35,,CC(=O)C1(O)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C
0.24,,CNC(=O)OCc1cccc(COC(=O)NC)n1
-0.64,,Cc1ncc(O[PH](=O)(=O)O)c(CO)c1O
1.4,,N#Cc1ccccc1N
1.96,,N#CC=Cc1ccccc1
3.04,,C(=NN1CCCCC1)c1ccccc1
1.71,,NC(=O)c1ccc(C(F)(F)F)cc1
2.02,,NC(=O)C1(N2CCCCC2)CCN(CCCC(=O)c2ccc(F)cc2)CC1
3.05,,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
1.0,,N=c1[nH]c(=N)c2ccccc2[nH]1
0.85,,Cc1cccc(S(N)(=O)=O)c1
-0.18,,NNC(=O)c1ccccc1N
2.61,,CCN=c1[nH]c(Cl)nc(=NC(C)C)[nH]1
3.94,,CCN(CC)c1nc(=NC(C)C)nc(Cl)[nH]1
3.34,,CCN=c1nc(Cl)[nH]c(N(CC)CC)n1
2.21,,COc1c(Cl)ccc(Cl)c1C(=O)O
0.3,,N=c1c(Cl)c(Cl)[nH]c(C(=O)O)c1Cl
2.18,,CC(C)N(C(=O)CCl)c1ccccc1
3.32,,COC(=O)Nc1ccc(Cl)c(Cl)c1
1.9,,COc1ccc(CCC(=O)O)cc1
3.84,,CCCSC(=O)N(CCC)CCC
3.41,,Clc1cccc(C(Cl)(Cl)Cl)n1
2.36,,CN(C(=O)c1ccccc1)c1ccccc1
3.84,,O=C(Cc1ccccc1)Nc1cccc(C(F)(F)F)c1
3.56,,CCCCC(=O)CC(=O)CCCC
1.24,,CNC(=O)Oc1ccccc1
2.12,,COC(=O)Nc1ccc([N+](=O)[O-])cc1
-0.87,,CC(=O)NC(Cc1ccc(O)cc1)C(N)=O
2.04,,Nc1ccc(S(=O)(=O)c2ccc([N+](=O)[O-])cc2)cc1
7.57,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
1.34,,CC(C)NC(=O)C=Cc1ccc([N+](=O)[O-])o1
0.77,,CCCCc1c(O)[nH]c(=O)[nH]c1=O
1.11,,Oc1ccc2[nH]ccc2c1
3.1,,CN1C(=O)CN=C(c2ccc(Cl)cc2)c2cc(F)ccc21
5.53,,CCCCOC(=O)c1ccc(C(=O)OCCCC)cc1
1.98,,NC(=O)Nc1ccc(Br)cc1
1.82,,NC(=O)Nc1cccc(Cl)c1
1.92,,O=C(NC(=O)c1ccccc1O)c1ccccc1O
1.29,,O=C(O[Na])c1ccccc1Nc1cccc(C(F)(F)F)c1
2.37,,Fc1ccc(C2=CCNCC2)cc1
5.23,,CN1CCC(CN2c3ccccc3Sc3ccccc32)C1
3.7,,CN(C)C(=O)Nc1ccc(Oc2ccc(Cl)cc2)cc1
3.8,,CC1CCCCC1NC(=O)Nc1ccccc1
-1.38,,CCCCCCCC(=O)O[Na]
3.24,,COc1cccc(Cl)c1Cl
3.14,,COc1c(Cl)cccc1Cl
4.03,,S=C=Nc1ccc(Br)cc1
2.79,,C=C(C)C(=O)OCC(C)(C)COC(=O)C(=C)C
2.8,,O=C(O)C1c2ccccc2-c2ccccc21
-0.48,,NC(Cc1ccc(Cl)cc1)C(=O)O
0.53,,N=C(N)Nc1ccccc1
3.86,,CC1CC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COC(=O)C(C)(C)C
1.79,,CCCCCn1cnc2c(=N)[nH]cnc21
2.44,,C=CC=CC
4.15,,CCSC(=O)N(CC(C)C)CC(C)C
0.77,,NC(=O)c1c(Cl)cccc1Cl
4.7,,O=C(Nc1ccccc1)Nc1ccc(Cl)c(Cl)c1
0.57,,CC(=O)Nc1ccc(O)c(C)c1C
2.16,,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21
3.41,,CC(C)C(C#N)c1ccc(Cl)cc1
0.93,,CC(=O)NC(Cc1ccccc1)C(=O)O
2.97,,O=C1NC(=O)c2cc(-c3ccccc3)ccc21
2.73,,CCOC(=O)CCc1ccccc1
2.41,,CN1C(=O)CN=C(c2ccccc2F)c2cc(F)ccc21
2.43,,CCOC(=O)C(C#N)=Cc1ccccc1
7.64,,CCCCCCCCC=CCCCCCCCC(=O)O
2.84,,CCCCCCCCOC(N)=O
7.66,,CC(C)N=c1cc2n(-c3ccc(Cl)cc3)c3ccccc3[nH]c-2cc1=Nc1ccc(Cl)cc1
1.9,,CNC(=O)Oc1ccc(N(C)C)c(C)c1
2.92,,CNC(=O)Oc1cc(C)c(SC)c(C)c1
1.96,,Brc1nc(Br)c(Br)[nH]1
2.61,,Oc1ccc2c(c1)OCC1c3cc4c(cc3OC21)OCO4
0.01,,Cc1cncnc1
1.83,,NCCCc1ccccc1
2.95,,FCCCc1ccccc1
4.16,,C=Cc1cc(C)ccc1C
2.18,,Cc1ccc(O)cc1[N+](=O)[O-]
2.77,,COC(=O)CCCc1ccccc1
2.21,,N#CCCCc1ccccc1
-0.36,,NC(CCCc1ccccc1)C(=O)O
0.55,,COC(=O)CCCCC(C)=O
1.5,,CC(=O)CCC1CC1
2.7,,COCCCc1ccccc1
1.46,,CC(=O)Nc1ccc(C)cc1C
1.47,,CC(=O)Nc1cc(C)ccc1C
2.17,,CC(=O)Nc1cc(C)cc(C)c1
5.27,,Clc1cccc(-c2cccc(Cl)c2)c1
5.23,,Clc1ccc(-c2ccc(Cl)cc2)cc1
4.42,,Clc1ccc2ccccc2c1Cl
4.56,,Clc1ccc2cccc(Cl)c2c1
4.3,,Clc1cccc2cccc(Cl)c12
4.42,,Clc1cc2ccccc2cc1Cl
4.23,,Oc1c(Cl)cc(Cl)c2ccccc12
-0.03,,CC(=O)Nc1ccccc1NC(C)=O
8.27,,Clc1c(Cl)c(Cl)c(-c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl
4.53,,Clc1ccccc1-c1ccccc1
4.58,,Clc1cccc(-c2ccccc2)c1
4.61,,Clc1ccc(-c2ccccc2)cc1
1.3,,O=C(O)CCC(=O)c1ccccc1
4.59,,Brc1ccccc1-c1ccccc1
4.63,,CCCCOC(=O)c1ccccc1O
1.01,,CCN(CC)Cc1cccnc1
0.49,,CN(C)Cc1cccnc1
-0.68,,S=C1NCCCN1
0.58,,CN1C(=O)C(=O)c2ccccc21
4.22,,S=C=Nc1ccc(I)cc1
3.91,,CC=CC#CC#CC#CC=CC(Cl)CO
6.3,,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
3.91,,O=C(CCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1
1.41,,COC(=O)COc1ccccc1
2.44,,O=C1C=C(Br)C(=O)c2ccccc21
1.35,,O=S(=O)(CF)Nc1ccccc1
0.59,,O=[N+]([O-])c1cn[nH]c1
3.65,,CCCNc1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-]
3.79,,CC(C)c1cccc(C(C)C)c1O
2.71,,CCCc1cccc(OCC(=O)O)c1
1.14,,O=C(O)Cc1cccc(C(=O)O)c1
1.38,,COc1cccc(OCC(=O)O)c1
4.47,,NCCCN1c2ccccc2Sc2ccc(Cl)cc21
2.69,,COc1ccc(OC)c(Cl)c1
4.78,,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1
5.21,,COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl
2.02,,CC(=O)Nc1ccccc1-c1ccccc1
4.85,,Brc1cccc(-c2ccccc2)c1
3.87,,O=[N+]([O-])c1cccc(-c2ccccc2)c1
0.65,,CC(C)COC(N)=O
1.85,,CCCCCCOC(N)=O
2.62,,c1ccc(Cc2ccncc2)cc1
2.36,,Nc1ccc(C(=O)O)cc1I
2.1,,CC(=O)c1ccc(N(C)C)cc1
4.9,,Cc1ccc(C)c2c(C)cccc12
3.91,,S=C=Nc1ccc(Cl)cc1
4.12,,S=C=Nc1cccc(Br)c1
2.74,,Oc1ccc(N=C=S)cc1
3.62,,O=[N+]([O-])c1ccc(N=C=S)cc1
3.52,,O=C(O)c1ccc(N=C=S)cc1
3.96,,CN(C)c1ccc(N=C=S)cc1
-0.79,,N=c1[nH]c(=S)c2ncn(C3CC(O)C(CO)O3)c2[nH]1
1.94,,CC1CC2C3CC(F)=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
7.73,,Clc1cc(Cl)c(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)c1Cl
-2.01,,Cc1cn(C2OC(CO)C(O)C2O)c(=O)[nH]c1=N
2.47,,CC(=O)c1cccc(Br)c1
2.09,,CC(=O)c1ccccc1Cl
2.28,,CC(=O)c1ccccc1Br
2.34,,CC(=O)C=Cc1ccccc1F
1.22,,CC1CCC(C)O1
2.58,,COC(=O)Nc1cccc(Cl)c1
3.0,,CC(=O)Nc1ccc(Cl)c(Cl)c1
3.77,,CCCC(=O)Nc1ccc(Cl)c(Cl)c1
4.17,,CCCCC(=O)Nc1ccc(Cl)c(Cl)c1
3.6,,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC21C
1.6,,O=C(Nc1ccc(O)cc1)C(Cl)Cl
4.79,,O=C1c2ccccc2C(=O)C1c1ccc(-c2ccccc2)cc1
-0.2,,CNC(=O)C=C(C)OP(=O)(OC)OC
0.24,,CC(CO)CO
-3.1,,C[As](=O)(O)O[Na]
2.42,,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1
-0.2,,CC(=O)OCC1OC(n2ncc(=O)[nH]c2=O)C(OC(C)=O)C1OC(C)=O
2.4,,COc1cc(CCN)cc(OC)c1OCc1ccccc1
3.53,,Clc1nc(Cl)c(Cl)c(Cl)c1Cl
3.41,,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
2.72,,OCc1cc(Br)cc(Br)c1O
6.3,,CCCCCCCCc1ccccc1
2.0,,COC(=O)Nc1cccc([N+](=O)[O-])c1
1.07,,CC(=O)Nc1c(C)cccc1C
2.1,,CC(=O)Nc1ccc(C)c(C)c1
4.81,,Clc1ccc2ccc(Cl)cc2c1
1.73,,CCOC(=O)c1ccc[nH]1
2.14,,CCOC(=O)c1c[nH]cc1C
2.49,,Cc1cc2c(cc1C)C(=O)C=CC2=O
0.6,,O=C1NC(=O)N(c2ccccc2)C1=O
3.21,,CCSC(=O)N1CCCCCC1
-0.28,,NN1CCCCC1
3.06,,CNP(=O)(OC)Oc1cc(Cl)c(Cl)cc1Cl
3.18,,CCNP(=O)(OC)Oc1cc(Cl)c(Cl)cc1Cl
3.7,,CCCNP(=O)(OC)Oc1cc(Cl)c(Cl)cc1Cl
4.18,,CCCCNP(=O)(OC)Oc1cc(Cl)c(Cl)cc1Cl
3.86,,COP(=O)(NCC(C)C)Oc1cc(Cl)c(Cl)cc1Cl
3.83,,COP(=O)(NC(C)(C)C)Oc1cc(Cl)c(Cl)cc1Cl
2.53,,COP(N)(=O)Oc1cc(Cl)c(Cl)cc1Cl
0.81,,Cc1cc(C#N)ccn1
3.91,,O=C(O)c1ccc(Oc2ccccc2)cc1
2.44,,CC(=O)OCc1ccc(C)cc1
