,logP,Temperature,smiles
3547,3.3,,COP(=S)(OC)Oc1ccc(N(=O)=O)c(C)c1
3554,1.47,,O=C(Nc(cccc1N(=O)=O)c1)C
3557,2.18,,n(c(nc(n1)NCC)NCC)c1Cl
3559,2.82,,Oc(ccc(Nc(cccc1)c1)c2)c2
3560,3.5,,N(c(cccc1)c1)c(cccc2)c2
3562,2.6,,O=C(OC(C)C)Nc(cccc1)c1
3564,2.09,,O=C(Oc(cccc1C)c1)C
3566,1.2,,O(C(OCC)OCC)CC
3569,2.07,,O=C(C=Cc(cccc1)c1)C
3570,1.34,,O=C(O)COc(cccc1)c1
3575,2.94,,N(Nc(cccc1)c1)c(cccc2)c2
3577,4.45,,O=C(OCC=Cc(cccc1)c1)C=Cc(cccc2)c2
3583,1.78,,O=CCc(cccc1)c1
3584,1.49,,O=C(Oc(cccc1)c1)C
3585,0.08,,O=C(Nc(ccc(N)c1)c1)C
3588,1.25,,O=Cc(ccc(NC(=O)C)c1)c1
3590,2.25,,O=C(O)COc(ccc(c1)Cl)c1
3592,2.9,,O(c(ccc(O)c1)c1)CCCC
3595,1.88,,OCCCc(cccc1)c1
3596,0.82,,OCCNc(cccc1)c1
3597,1.16,,O(c(cccc1)c1)CCO
3599,8.65,,c(cccc1)(c1)CCCCCCCCCCCC
3600,9.36,,c(cccc1)(c1)CCCCCCCCCCCCC
3601,1.71,,c1ccccn1(Cl)CCCCCCCCCCCCCCCC
3605,2.58,,Oc(ccc(c1)CC)c1
3606,1.35,,O=Cc(ccc(O)c1)c1
3608,1.76,,O=Cc(ccc(OC)c1)c1
3614,1.2,,O=C(OCC)CCC(=O)OCC
3617,0.04,,Oc(ccc(N)c1)c1
3618,0.59,,Oc(ccc(O)c1)c1
3619,0.63,,n(c(cnc1C)C)c1
3620,-0.84,,C1=CC(=O)NNC1(=O)
3622,4.17,,C(C=C)(=C)CCC=C(C)C
3624,0.59,,O=CCC
3625,-0.97,,O=CNC
3634,1.16,,OCCC(C)C
3635,0.4,,O=C(CC(=O)C)C
3639,0.67,,O(C(OC(O1)C)C)C1C
3643,0.88,,O=CCCC
3645,0.46,,N(CCC1)C1
3646,-0.49,,O=C(O)CCC(=O)C
3647,-1.7,,O=C(N=NC(=O)N)N
3652,2.4,,NC(CCCCC)C
3656,1.78,,O=C(OCCCC)C
3659,-0.27,,O(CCOC1)C1
3660,2.25,,O=C(OCCC(C)C)C
3663,2.9,25.0,OC(CCCCCC)C
3664,1.57,,O=C(O)CCCCCCCC(=O)O
3665,1.11,,N(CC=C)CC=C
3667,0.08,,O=C(O)CCCCC(=O)O
3670,3.05,,O=C(O)CCCCCCC
3673,6.41,,O=C(OC)CCCCCCCCCCCCC
3674,5.15,,C(=C)CCCCCCC
3675,2.75,,N#CCCCCCCC
3679,5.01,,C(CCCCCCCC)C
3688,0.83,,O=C=O
3689,-0.38,,N(C)C
3694,2.16,,BrC(Br)Cl
3703,3.24,,OC(C(C(C1C2)(C)C)(C2)C)C1
3707,-0.15,,COc1ccc2CC4N(H)(Cl)(C)CCC35C(Oc1c23)C(=O)CCC45O
3709,1.16,,CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO
3715,4.3,,O=C(OC(C(C(C1C2)(C)C)(C2)C)C1)C
3726,0.91,,CCC1(C(=O)NCNC1=O)c2ccccc2
3727,1.65,,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
3730,2.88,,O=C(c(c(OC(C1(C(=O)C(C2=O)C(=O)C)C)=C2)c1c(O)c3C)c3O)C
3734,2.11,,O=C1N(C)C(=O)NC(=O)C1(C(C)C)CC(Br)=C
3736,0.78,,CCC1(CC)C(=O)NCC(C)C1=O
3742,3.11,,c1cc(O)cc2C4(CC3)CCCCC4C(N3C)Cc12
3749,3.83,,CC(CN(C)C)C(O)(Cc1ccccc1)c2ccccc2
3752,2.18,,COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O
3766,-0.77,,O=S(=O)(CCC1)C1
3779,4.29,,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr
3780,4.0,,O=P(OCCCC)(OCCCC)OCCCC
3788,0.68,,N#CC(=C)C
3791,0.12,,N(O)=C(C)C
3792,-1.8,,NC(=O)NO
3796,3.4,,C(=C(Cl)Cl)(Cl)Cl
3797,-0.77,25.0,O=C(N(C)C)C
3803,1.67,,CC12CC(O)C3(F)C(CCC4=CC(=O)CCC43C)C2CCC1(O)C(=O)CO
3808,3.85,,O=C(C=CC(C(=CCC1)C)C1(C)C)C
3817,2.4,,O=S(=O)(c(cccc1)c1)c(cccc2)c2
3820,-2.61,,[Na]OS(=O)(=O)c1cccc(c1)N(=O)=O
3821,1.01,,O=S(=O)(Nc(onc1C)c1C)c(ccc(N)c2)c2
3826,1.55,,O=S(=O)(Nc(cccc1)c1)c(ccc(N)c2)c2
3827,0.14,,O=S(=O)(Nc(nccc1C)n1)c(ccc(N)c2)c2
3831,4.16,,C(C(CC1C2)C1(C)C)(C2)=C
3838,3.0,,C1C(O)CC2CC(O)C3C4CCC(C(C)CCC(=O)O)C4(C)CCC3C2(C)C1
3844,5.1,,Oc(c(cc(c1)C)C(C)(C)C)c1C(C)(C)C
3845,4.92,,Oc(c(ccc1)C(C)(C)C)c1C(C)(C)C
3862,3.0,,O=C(c(c(C(=O)c1c(N)ccc2N)ccc3)c3)c12
3864,4.88,,c(c(c(cc1)ccc2)c2cc3)(c1ccc4)c34
3865,4.69,,CN1CCC(CC1)=C3c2ccccc2C=Cc4ccccc34
3871,2.72,,CCCCC1C(=O)N(N(C1=O)c2ccc(O)cc2)c3ccccc3
3874,3.52,,O=C(c(c(c(O)cc1)C(=O)c2cccc3)c1)c23
3885,2.42,,O=C(c(c(c1ccc(N(=O)=O)c2)c(N(=O)=O)cc3N(=O)=O)c3)c12
3886,1.27,,c1ccccc1N2N(C)C(C)=C(I)C2(=O)
3892,-2.34,,c1cc(N)c2ccccc2c1S(=O)(=O)O[Na]
3893,1.71,,c1cc2C(=O)C=CC(=O)c2cc1
3894,2.88,,n(c(c(c(cc1)Cl)cc2)c1O)c2
3910,3.44,,O(c(ccc(nccc1C(O)C(N(CCC2C3C=C)C3)C2)c14)c4)C
3913,2.54,,O=C(OC)C(C(O)CC5)C(C5(H)C4)(H)CC1(H)N4CCC2=C1NC3=C2C=CC=C3
3916,1.6,,O=C(OC)c(c(ccc1)C(=O)OC)c1
3920,3.27,,O=C(OCCC)c(c(ccc1)C(=O)OCCC)c1
3921,3.23,,O=C(OCC=C)c(c(ccc1)C(=O)OCC=C)c1
3922,5.62,,O=C(OCCCCC)c(c(ccc1)C(=O)OCCCCC)c1
3932,3.79,,O=C(c(cccc1)c1)c(c(O)cc(OC)c2)c2
3942,4.12,,Oc1c(C2CCCCC2)cc(N(=O)(=O))cc1N(=O)(=O)
3943,2.28,,O=Nc(c(c(ccc1)cc2)c1)c2O
3951,3.38,,n(c(ccc1)C(c(ccc(c2)Cl)c2)CCN(C)C)c1
3956,2.46,,O=Nc(c(O)c(c(ccc1)c2)c1)c2
3959,4.12,,o(c(c(c1cccc2)ccc3)c3)c12
3960,4.38,,s(c(c(c1cccc2)ccc3)c3)c12
3967,1.97,,Oc(c(c(ccc1)cc2O)c1)c2
3972,2.8,,O=C(N(SC(Cl)(Cl)Cl)C(=O)C1CC=CC2)C12
3973,2.85,,O=C(N(SC(Cl)(Cl)Cl)C(=O)c1cccc2)c12
3976,3.15,,Oc1cc(N)ccc1C(=O)Oc2ccccc2
3980,2.86,,CCN(CC)CCOC(=O)c1ccc(N)cc1Cl
3983,2.3,,O=C(O)CCCC(c(c(N1)ccc2)c2)=C1
3987,-2.47,,OCC(O)C(O)C(O)C(O)CO
3995,0.62,,O=S(=O)(N)c(c(cc(NC(NS1(=O)=O)C(Cl)Cl)c12)Cl)c2
3999,4.56,,O=C(O)c(c(O)c(cc1I)I)c1
4003,1.88,,O=C(OC)c(c(N)ccc1)c1
4005,2.25,,c(c(c(N)cc1)ccc2)(c2)c1
4011,2.88,,CC(=O)Oc1ccccc1C(=O)Oc2ccccc2
4012,-0.71,,N1N=NC(NC(N)=NC2=O)=C12
4013,2.18,,O=C(N(CC)CC)c(cccc1C)c1
4019,3.38,,O=C(c(cccc1)c1)C(=O)c(cccc2)c2
4024,1.35,,CC(=O)Nc1c(C)c(C)ccc1
4026,3.72,,CCc1ccccc1CC
4027,1.72,,O=Cc(c(OC)ccc1)c1
4028,1.42,,CN2C(CCl)Nc1cc(Cl)c(cc1S2(=O)=O)S(N)(=O)=O
4029,0.36,,NS(=O)(=O)c2cc1c(NCNS1(=O)=O)cc2C(F)(F)F
4032,2.7,,Oc(ccc(c1ccc2)c2)c1
4039,7.11,,c(c(cc(c1ccc2)c2)cc(c3cc(c4ccc5)c5)c4)(c1)c3
4042,3.85,,c1ccc2Oc3ccccc3Nc2c1
4046,4.38,,N(c(ccc(c1ccc2)c2)c1)c(cccc3)c3
4048,4.57,,c(cccc1)(c1)C(CC)C
4057,3.57,,n1cc(C(=O)OCCC)ccc1C(=O)OCCC
4060,3.84,,O=C(OCCCC)c(cccc1)c1
4064,3.45,,Oc(c(ccc1O)CCCCCC)c1
4070,5.76,,Oc(c(ccc1)CCCCCCCCC)c1
4080,1.43,,Sc(c(N)ccc1)c1
4084,2.27,,Cc1cc(C)c(N)cc1C
4085,1.28,,O=C1C(C)=CC(=O)C(C)=C1
4088,1.73,,N(C(=S)SSC(N(C)C)=S)(C)C
4090,1.23,,CN(C)C(=S)S[Zn]SC(=S)N(C)C
4091,1.29,,OCC(CC)C
4096,2.44,,O=C(Nc(c(ccc1)C)c1C)CN(CC)CC
4107,1.31,,NS(=O)(=O)c1ccc(CC)cc1
4109,0.5,,OC(=O)c1ccc(S(=O)(=O)N)cc1
4110,-1.22,,O(C(C(O)C(O)C1O)CO)C1Oc(c(ccc2)CO)c2
4111,2.29,,c1c(OC)c(OC)c(OC)cc1C(=O)NCc2ccc(OCCN(C)C)cc2
4118,4.57,25.0,C(=CCC(C(=C)C)C1)(C1)C
4132,2.93,,CC(C)Nc1nc(Cl)nc(NC(C)C)n1
4134,2.96,,O(c(ccc(N)c1)c1)c(cccc2)c2
4137,2.18,,S(c(ccc(N)c1)c1)c(ccc(N)c2)c2
4138,4.45,,S(c(cccc1)c1)c(cccc2)c2
4140,1.9,,c1c(Cl)cc(NC=O)cc1
4141,5.61,,c1ccc(O)cc1CCCCCCCCC
4142,1.09,,O=Cc1cc(O)c(O)cc1
4154,2.13,,O=C(O)C=Cc(cccc1)c1
4155,1.96,,O=C(OCc(cccc1)c1)C
4163,1.56,,N#CCc(cccc1)c1
4166,1.8,,NC(=O)Nc1ccc(Cl)cc1
4167,2.11,,O=C(Oc(ccc(c1)C)c1)C
4168,1.3,,s1c(NC(=O)C)ncc1N(=O)=O
4172,2.47,,N#CCc(ccc(c1)Cl)c1
4184,-0.85,,O=NN(CCN(N=O)C1)C1
4188,1.32,,O=C(OCC)C=C
4202,3.98,,O=C(OCC=C(CCC=C(C)C)C)C
4213,0.7,,n(nc(cc1)Cl)c1Cl
4215,2.36,,O=C(OCCCC)C=C
4219,-1.31,,OCCN
4225,5.4,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
4226,6.0,,C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C
4228,0.0,,COP(=O)(OC)OC(C)=CC(=O)N(C)C
4232,0.73,,O=C(OCC)C
4234,-0.81,,O=C(O)CC(=O)O
4240,4.57,,c(cccc1CC)(c1)CC
4244,0.25,,O=C(OCC)CC(=O)C
4255,-0.2,,N(CCNC)(C)C
4257,2.0,,ClCCCCl
4268,1.92,,O=C(O)CCCCC
4270,0.95,,O(CCCC1)C1
4276,4.66,,C(CCCCC)C
4278,1.67,,N(CCC)CCC
4283,3.21,,O(CCCC)CCCC
4284,4.6,,O=C(O)CCCCCCCCCCC
4285,3.77,,OCCCCCCCCC
4299,5.41,,ClC2(Cl)C4(Cl)C1(Cl)C5(Cl)C(=O)C3(Cl)C1(Cl)C2(Cl)C3(Cl)C45Cl
4301,2.64,,C1C(O)CC2CCC3C4(O)CCC(C5=CC(=O)OC5)C4(C)CCC3C2(C)C1
4305,3.02,,O=S(=O)(OC(c1cccc2)(c(ccc(O)c3)c3)c(ccc(O)c4)c4)c12
4311,4.49,,OC(CCN1CCCCC1)(C2CCCCC2)c3ccccc3
4315,1.24,,OCC(C(O)C(C)C)(C)C
4321,-0.19,,O=C(N)CI
4328,-0.96,,O=C(NS(=O)(=O)c(ccc(N)c1)c1)C
4329,0.54,,c1cc(N)ccc1S(=O)(=O)Nc2nnc(C)s2
4330,0.35,,O=S(=O)(Nc(nccc1)c1)c(ccc(N)c2)c2
4334,4.22,,C1C(O)CC2=CCC3C4CCC(C(=O)C)C4(C)CCC3C2(C)C1
4340,1.91,,O=C(O)C(C(C(=O)O)C(O1)CC2)C12
4344,2.25,,O=C3CN=C(c1ccccc1)c2cc(ccc2N3)N(=O)=O
4348,2.73,,COC(=O)C4C(O)CCC5CN3CCc1c(nc2ccccc12)C3CC45
4350,5.54,,c1ccc2Sc3ccc(C(F)(F)F)cc3N(CCCN(C)C)c2c1
4363,2.2,,c1ccccc1OC(C)C(=O)NC2C(=O)N3C(C(=O)O)C(C)(C)SC23
4364,0.97,,c1(I)ccccc1C(=O)NCC(=O)O
4368,-3.02,,O1CC(O)C(O)C(O)C1O
4371,-2.54,,O=C(O)C(NCC1)C1
4372,2.39,,O=C(O)c(c(S)ccc1)c1
4377,2.02,,n(c(c(ccc1)cc2)c1O)c2
4380,1.37,,O=Cc(c(O)c(OC)cc1)c1
4381,0.32,,NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2C(F)(F)F
4387,2.47,,c2ccc1nc(nc1c2)c3cscn3
4388,-0.52,,NC(Cc1ccc(cc1)N(CCCl)CCCl)C(O)=O
4397,2.42,,N(c(c(S1)ccc2)c2)=C1S
4398,-2.29,,OCC(O)C(O)CO
4402,2.64,,O=C(O)C(CCCC)CC
4404,0.25,,O(C(OC)OC)C
4406,0.7,,O=C(O)c(cc(O)c(O)c1O)c1
4409,0.83,,O=C(O)c(ccc(N)c1)c1
4410,1.34,,O(c(cccc1O)c1)C
4412,-1.44,,O=C(O)C(N)Cc(cccc1)c1
4421,1.94,,O=C(N(C)C)Nc(ccc(c1)Cl)c1
4424,1.58,,O(c(ccc(O)c1)c1)C
4426,2.04,,O(c(ccc(OC)c1)c1)C
4433,2.21,,O(c(cccc1OC)c1)C
4436,1.6,,CCCCCCCCCCCCOS(=O)(=O)O[Na]
4438,-2.17,,CCCCCC(=O)O[Na]
4443,2.3,,FC(F)(F)C(Cl)Br
4445,3.48,,Oc4ccc3CC2C1CCCCC1(CCN2CC=C)c3c4
4451,0.7,,c1cc(N)ccc1S(=O)(=O)Nc2nccnc2OC
4453,3.08,,C1C(=O)C=C2CCC3C4CCC(O)(C(=O)CO)C4(C)CCC3C2(C)C1
4455,1.98,,O=C1Oc2ccccc2C(O)=C1C(CC(=O)C)c3ccc(N(=O)=O)cc3
4461,0.0,,CC(=O)OCC1=C(N3C(SC1)C(NC(=O)Cc2cccs2)C3=O)C(O)=O
4463,3.14,,Nc3ccc1c(Cc2ccccc12)c3
4469,0.56,,CCCC1CC(N(C)C1)C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O
4470,0.51,,Oc1cc(O)c2CC(O)C(c3ccc(O)c(O)c3)Oc2c1
4472,-0.07,,N1C(N)=Nc2ncnc2C1=S
4476,1.53,,ClCCNC(=O)N(CCCl)N=O
4477,-3.24,,c1(C=NO)ccccn1(C)OS(=O)(=O)C
4479,1.58,,NC(C1)C1c(ccc2)cc2
4486,1.76,,c1ccccc1CC(N)C
4487,0.75,,O=C(O)Cc(ccc(O)c1)c1
4488,1.24,,O(c(ccc(N)c1)c1)CC
4491,-3.2,,CCCC(=O)O[Na]
4494,1.86,,C(=CCl)Cl
4495,2.09,,C(=CCl)Cl
4499,-0.28,,O=C1C=CN=C(S)N1
4500,-1.12,,OCCCN
4512,5.07,,c1c(c23)ccc(c34)ccc4ccc2c1
4515,5.53,,n(c(c(cc1)cc(c2c(c(c3)ccc4)c4cc5)c3)c25)c1
4516,7.64,,c1cc3ccc4ccc5ccc6ccc7ccc1c2c7c6c5c4c23
4517,6.63,,c16cccc2ccc3ccc4ccc5cccc6c5c4c3c12
4518,7.04,,c1cc2ccc3cc5cccc6ccc4cc(c1)c2c3c4c56
4519,7.71,25.0,c1ccc3c(c1)cc4ccc5cccc6c2ccccc2c3c4c56
4520,8.39,,c1cc2c3ccccc3c4c5ccccc5c6ccccc6c4c2cc1
4522,6.44,,c1ccc2c(c1)c4cccc5ccc3cccc2c3c45
4525,7.11,,c1cc2c3c4ccc5ccccc5c4ccc3ccc2cc1
4527,6.25,,c(c(ccc1)ccc2)(c1c(c(c(cc3)ccc4)c45)c3)c25
4533,5.19,,c1ccc3c(c1)ccc4sc2ccccc2c34
4535,5.78,,c12ccccc1cc3c4ccccc4c5c3c2ccc5
4536,5.16,,c(c(ccc1)ccc2)(c1c(c3ccc4)c4)c23
4537,6.11,,c2ccc1cc3c(cc1c2)c4cccc5cccc3c45
4540,3.94,,c1ccc2cccc3c2c1C=C3
4541,7.11,,c1cc2c3ccc4c5ccccc5ccc4c3ccc2cc1
4542,7.11,,c1cc2cc3c4ccc5ccccc5c4ccc3cc2cc1
4543,6.41,,c5ccc4cc3c1ccccc1c2ccccc2c3cc4c5
4544,5.66,,n5c2c(cc3c5c1c(c4c3cccc4)cccc1)cccc2
4545,5.49,,c1ccc2c3ccccc3c4ccccc4c2c1
4546,5.81,,c1ccc2ccc3c4ccccc4ccc3c2c1
4547,5.35,,c1ccc2ccc3c4C=CSc4ccc3c2c1
4549,6.54,,c1ccc4c(c1)ccc5cc3ccc2ccccc2c3cc45
4550,5.63,25.0,c1ccc4c(c1)ccc5nc3ccc2ccccc2c3cc45
4551,6.45,,c1ccc2c3nc4c5ccccc5ccc4cc3ccc2c1
4554,4.48,,c4ccc3nc2ccc1ccccc1c2cc3c4
4558,5.73,,c1ccc4c(c1)ccc5nc2c(ccc3ccccc23)cc45
4559,6.81,,c1cc2ccc3cc4cc5ccccc5cc4cc3c2cc1
4560,3.48,,c1ccc2c(c1)cnc3ccccc23
4561,2.05,,c1cnc2ccc3ncccc3c2c1
4562,2.4,,c1ccc2c(c1)nnc3ccccc23
4563,3.43,,c1ccc2c(c1)ccc3cccnc23
4564,2.51,,C12=C(C=CC=N3)C3=CC=C1C=CC=N2
4565,4.41,,c12c3C=CSc3ccc1cccc2
4566,4.55,,c12c3SC=Cc3ccc1cccc2
4567,5.4,,C3c1ccccc1c4ccc2ccccc2c34
4569,6.4,,c1ccc4c(c1)ccc5c3ccc2ccccc2c3nc45
4570,5.77,,c1ccc2c3cc4ccccc4cc3Cc2c1
4571,5.05,,c1cc2c3cc4ccccc4cc3Oc2cc1
4572,5.34,,c1cc2c3cc4ccccc4cc3Sc2cc1
4574,3.17,,c1ccc2c(c1)nc3cnccc23
4575,2.96,,c12c3ncccc3Cc1cccc2
4576,0.57,,n(ncc(c1ccc2)c2)c1
4577,0.93,,c2ccc1nnccc1c2
4578,1.0,,c2ccc1ncncc1c2
4584,3.4,,n(c(c(ccc1)cc2cccc3)c1)c23
4586,4.3,,O2c1ccccc1Oc3ccccc23
4587,4.54,,O(c(c(Sc1cccc2)ccc3)c3)c12
4589,4.5,,c12cc3SC=Cc3cc1cccc2
4590,1.74,,n1ccc2ccsc2c1
4593,1.77,,c2ccc1nncc1c2
4594,1.52,,N1=C2C=CC=CC2=CO1
4597,2.67,,c1ccc2ccoc2c1
4598,1.63,,c1ccc2cnoc2c1
4602,3.19,,c1ccc2C=C[Se]c2c1
4604,0.18,,c2cc1ncnc1cn2
4606,1.69,,C1=CC2=NON=C2C=C1
4607,1.98,,c1ccc2nsnc2c1
4608,1.64,,C1=CC2=N[Se]N=C2C=C1
4609,0.3,,c1nc2ncccc2n1
4611,1.59,,o(c(c(n1)ccc2)c2)c1
4613,2.08,,O(c(c(O1)ccc2)c2)C1
4614,2.49,,c2cc1cccn1cc2
4615,1.82,,c1ccc2ccnc2n1
4616,-0.09,,c1cc2nnnn2cc1
4617,3.2,,C1=CC=C2C=CC=C2C=C1
4618,2.9,,C(C(C12)C23)C(C14)C43
4619,3.78,,C1CC2CC1CC2
4623,4.24,,C(CC(CC1CC23)C3)(C1)C2
4630,1.26,,O1C2CCCCCC12
4633,4.7,,C1OC1CCCCCCCCC=C
4638,3.0,,C(CCC1)C1
4639,0.26,,N1N=CC=C1
4640,0.08,,n1occc1
4641,-0.08,,N1C=NC=C1
4642,-0.29,,N1N=NC=C1
4643,0.16,,C1=NON=C1
4644,0.12,,c1cocn1
4645,0.44,,s1cncc1
4647,-0.58,,n1ncnc1
4648,-0.6,,N1=NN=CN1
4650,-0.72,,n(nccc1)c1
4651,-0.4,,n(cccn1)c1
4652,-0.26,,n(ccnc1)c1
4653,-0.73,,n(cncn1)c1
4655,4.0,,C1CCCCCC1
4657,4.45,,C1CCCCCCC1
4660,-0.04,,C1COCCOCCOCCO1
4667,2.86,,COP(=S)(OC)Oc1ccc(cc1)N(=O)=O
4668,0.13,,P(=O)(OC)(OC)OC(=CC(=O)OC)C
4669,3.56,,CCOP(=S)(OCC)SCSCC
4671,4.02,,CCOP(=S)(OCC)SCCSCC
4678,2.45,,NC(=O)N2c1ccccc1C=Cc3ccccc23
4680,5.77,,c1ccccc1C=CCN2CCN(C(c3ccccc3)c4ccccc4)CC2
4692,1.13,,OC(c(cccc1)c1)C(NC)C
4695,4.88,,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl
4696,4.3,,COP(=S)(NC(C)C)Oc1ccc(Cl)cc1Cl
4697,3.42,,CNP(=O)(OC)Oc1ccc(cc1Cl)C(C)(C)C
4705,-2.54,,c1c(OC)c(O)ccc1CC(N)C(=O)O
4707,3.23,,c(cccc1)(c1)CC=C
4710,1.38,,COP(=O)(OC)OC(Br)C(Cl)(Cl)Br
4715,6.29,,O=C(OC)CCCCCCCC=CCC=CCC=CCC
4718,-0.74,,CCS(=O)CCSP(=O)(OC)OC
4723,-2.07,,NN
4724,0.99,,OC(O)C(Cl)(Cl)Cl
4730,3.91,,C1CC(C(=O)N)(N2CCCCC2)CCN1CCC(C#N)(c3ccccc3)c4ccccc4
4732,-2.13,,CCN(I)(CC)(CC)C
4735,-2.96,,O=C(O)C(N)C
4736,6.3,,O=C(O)C=C(C=CC=C(C=CC(=C(CCC1)C)C1(C)C)C)C
4742,2.2,,O=C(O)c(c(O)ccc1)c1O
4746,1.28,,COC(C)C(O)(C(=O)OCC1=CCN2CCC(OC(=O)C(C)=CC)C12)C(C)(C)O
4747,1.2,,OC(=O)c1cccc(O)c1O
4749,4.74,,CC3Cc2c(Cl)cc(C(=O)NC(Cc1ccccc1)C(O)=O)c(O)c2C(=O)O3
4750,5.19,,CN(C)CCCN2c1ccccc1CCc3ccc(Cl)cc23
4767,1.7,,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl
4772,-4.64,,OC(=O)C(N)CCN
4778,0.33,,O=C(O)Cc(ccc(O)c1OC)c1
4780,2.67,,C(C(#N))(C(#N))=NNc1ccccc1
4787,0.34,,CC(=O)C=NO
4803,6.5,,ClC3=C(Cl)C4(Cl)C2C1CC(C=C1)C2C3(Cl)C4(Cl)Cl
4804,3.36,,FC(F)(F)C(F)(F)c1ccccc1
4812,1.98,,CCOP(=O)(OCC)Oc1ccc(cc1)N(=O)=O
4817,2.17,,c1cc(N)ccc1S(=O)(=O)c2ccc(F)cc2
4821,2.67,,c1ccc2nc(C(F)(F)F)nc2c1
4823,2.36,,C1C(=O)C=C2CCC3C4CCC(C(=O)C)C4(C)CC(O)C3C2(C)C1
4834,2.11,,N1C(=O)N(C(C)CC)C(=O)C(Br)=C1C
4838,2.56,,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1
4840,-0.55,,c1nc(O)c2cnnc2n1
4850,2.5,,c1ccc2cccnc2c1C(F)(F)F
4855,3.08,,ClC1C=CC(Cl)C(Cl)C1Cl
4856,3.8,,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl
4857,3.78,,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl
4858,4.14,,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl
4861,3.95,,ClC1C=C(Cl)C(Cl)C(Cl)C1Cl
4866,3.09,,O=C(O)c(c(O)ccc1Cl)c1
4867,2.14,,COc1c(F)cccc1
4874,2.71,,c1ccc2nc3CCCCc3c(N)c2c1
4877,-0.04,,c1ccc2nccnc2n1
4879,2.05,,C(F)(F)(F)c1ccc2c(O)ccnc2c1
4883,3.02,,C(F)(F)(F)c1ccc2cccnc2c1
4895,1.46,,O=C(C(SC=C1)=C1)CC(=O)C(F)(F)F
4896,2.68,,c1c(N(=O)(=O))cc2nc(C(F)(F)F)nc2c1
4898,-1.53,,O=C(O)C(N)CCCC
4901,5.23,,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
4908,3.57,,FC(F)(F)c(cc(N)cc1C(F)(F)F)c1
4911,2.17,,O=C(Nc(ccc(S(=O)(=O)F)c1)c1)C
4917,1.75,,Oc1cc(ccc1N(=O)=O)N(=O)=O
4920,0.7,,n1cc(C(=O)N)ccc1N
4926,1.37,,CN(C)C(=O)Nc1cccc(F)c1
4927,2.68,,O=C(N(C)C)Nc(ccc(c1Cl)Cl)c1
4928,3.2,,O=C(N(OC)C)Nc(ccc(c1Cl)Cl)c1
4929,3.79,,CNC(=O)Oc1cc(C(C)C)cc(C(C)C)c1
4933,1.65,,O=C(O)Cc(cccc1F)c1
4935,1.15,,c1c(O)c(O)ccc1C=CC(=O)O
4942,1.13,,CN(C)C(=O)Nc1ccc(F)cc1
4958,3.81,,O(P(OCC)(Oc(nc(nc1C)C(C)C)c1)=S)CC
4971,4.09,,CCCCCCCCCC(=O)O
5008,1.51,,CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC43C)C2CCC1(O)C(=O)CO
5010,1.01,,O=C(NCCCC)NS(=O)(=O)c(ccc(N)c1)c1
5023,0.09,,O1C(CO)C(O)C(O)C1N2c3ncnc(SC)c3N=C2
5031,1.98,,CC(=O)Nc1c(C(F)(F)F)cc(Cl)cc1
5032,1.17,,CC(=O)Nc1c(C(F)(F)F)cccc1
5034,2.67,,Fc(c(ccc1)CCl)c1
5037,1.9,,CN2C(CSCC(F)(F)F)Nc1cc(Cl)c(cc1S2(=O)=O)S(N)(=O)=O
5038,1.39,,OC(=O)COc1ccccc1F
5041,1.26,,Fc(c(N)ccc1)c1
5043,3.33,,CC(=O)Nc1cc(C(F)(F)F)c(Cl)cc1
5044,2.24,,CC(=O)Nc1c(F)ccc(C(F)(F)F)c1
5047,2.24,,OCc1cc(C(F)(F)F)ccc1
5049,2.36,,OC(=O)COc1cc(C(F)(F)F)ccc1
5051,2.52,,c1cc(C(F)(F)F)ccc1NC(=O)C
5052,0.43,,O=C(c(cccn1)c1)C
5054,1.8,,O=N(=O)c(ccc(F)c1)c1
5060,1.65,,CC(=O)Nc1cccc(F)c1
5061,2.62,,O=C(O)Cc(cccc1C(F)(F)F)c1
5062,2.56,,CC(=O)Nc1cccc(c1)C(F)(F)F
5064,1.47,,CC(=O)Nc1ccc(F)cc1
5065,2.73,,Fc(ccc(c1)CCl)c1
5066,2.58,,Fc(ccc(c1)C)c1
5067,2.78,,Fc(ccc(c1)Cl)c1
5069,1.15,,C(F)(F)(F)CCCCO
